"Sample_Name","Staining_Protocol","Expt_Date","Date_Measurement","Location","Station_Number","Depth","Sample_Type","Timepoint","Replicate","c_Bacteria","c_Viruses","VBR","HNAperLNA","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31"
"vi201103.057","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VP",20.5,2,3223880.597,56796588.49,17.61746032,7.710344828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201104.053","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VPC",20.5,2,550746.2687,45562260.13,82.728223,1.888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201103.058","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VP",20.5,3,2814498.934,81418336.89,28.92818182,7.17037037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201104.054","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VPC",20.5,3,699147.1215,37720042.64,53.95150961,1.657142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201103.015","Viruses","06-08-20","03-11-20","NJ2020",2,1,"0.22",24,1,1791.044776,9907803.838,5531.857143,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201103.059","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VP",24,1,3878891.258,135175266.5,34.84894459,9.263513514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201104.060","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VPC",24,1,670362.4733,73359914.71,109.4332061,1.619047619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201103.016","Viruses","06-08-20","03-11-20","NJ2020",2,1,"0.22",24,2,767.5906183,9745074.627,12695.66667,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201103.060","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VP",24,2,3418336.887,75244349.68,22.01197605,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201104.047","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VPC",24,2,610234.5416,67631130.06,110.8280922,1.941176471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201103.017","Viruses","06-08-20","03-11-20","NJ2020",2,1,"0.22",24,3,255.8635394,9171428.571,35845,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201103.061","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VP",24,3,3474626.866,111264818.8,32.02209131,9.233082707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201104.048","Viruses","06-08-20","03-11-20","NJ2020",2,1,"VPC",24,3,658848.6141,56081449.89,85.12038835,2.02247191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201112.012","Viruses","03-09-20","12-11-20","NJ2020",6,1,"0.22",0,1,-255.8635394,10804861.41,-42229,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201112.039","Viruses","03-09-20","12-11-20","NJ2020",6,1,"VP",0,1,1208315.565,27976759.06,23.15352038,1.149659864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201112.098","Viruses","03-09-20","12-11-20","NJ2020",6,1,"VPC",0,1,1270362.473,27339658.85,21.52114804,0.917307692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201112.016","Viruses","03-09-20","12-11-20","NJ2020",6,1,"0.22",0,2,-255.8635394,11716759.06,-45793,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201112.040","Viruses","03-09-20","12-11-20","NJ2020",6,1,"VP",0,2,1276119.403,26804904.05,21.00501253,0.910305344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201112.099","Viruses","03-09-20","12-11-20","NJ2020",6,1,"VPC",0,2,1281876.333,27298720.68,21.29590818,0.961013645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
