"Location","Station_Number","Depth","Time_Range","Population","Sample_Type","VP","VP_SE","VP_R_Squared","VP_Type","abs_VP"
"NJ2020","3","1","T0_T6","c_Viruses","VP",-138606.965555557,314952.849144479,0.398955694887663,"LM_SR_AVG",NA
"NJ2020","3","1","T0_T9","c_Viruses","VP",-178968.017333333,183967.206708921,0.399959270372024,"LM_SR_AVG",NA
"NJ2020","4","1","T0_T12","c_Viruses","VP",1798379.53111111,111496.795140149,0.752197735119645,"LM_SR_AVG",NA
"NJ2020","4","1","T0_T24","c_Viruses","VP",891115.849583332,71304.4169821588,0.587851355194414,"LM_SR_AVG",NA
"NJ2020","4","1","T0_T3","c_Viruses","VP",423312.011111111,161450.540719323,1,"LM_SR_AVG",NA
"NJ2020","4","1","T0_T6","c_Viruses","VP",3072992.18222222,24642.1165982526,0.800870486535933,"LM_SR_AVG",NA
"NJ2020","4","1","T0_T9","c_Viruses","VP",2420796.02,211045.593761682,0.812561871975865,"LM_SR_AVG",NA
"NJ2020","5","1","T0_T12","c_Viruses","VP",84825.8704444449,50252.8938380078,0.0485366509465331,"LM_SR_AVG",NA
"NJ2020","5","1","T0_T24","c_Viruses","VP",31821.2508055552,34272.7758032093,0.0387772081185554,"LM_SR_AVG",NA
"NJ2020","5","1","T0_T3","c_Viruses","VP",197725.65777778,212409.02586055,1,"LM_SR_AVG",NA
"NJ2020","5","1","T0_T6","c_Viruses","VP",205792.46611111,542462.472135789,0.609002472930471,"LM_SR_AVG",NA
"NJ2020","5","1","T0_T9","c_Viruses","VP",-65415.7785555563,144931.137341905,0.214587236965485,"LM_SR_AVG",NA
"NJ2020","6","1","T0_T12","c_Viruses","VP",-492565.742444444,177413.519560199,0.5851110851263,"LM_SR_AVG",NA
"NJ2020","6","1","T0_T24","c_Viruses","VP",-134616.204611111,44048.8999334364,0.32843969559517,"LM_SR_AVG",NA
"NJ2020","6","1","T0_T3","c_Viruses","VP",-170717.838888887,394307.610181852,1,"LM_SR_AVG",NA
"NJ2020","6","1","T0_T6","c_Viruses","VP",-417555.081111112,199359.66958748,0.413117827935941,"LM_SR_AVG",NA
"NJ2020","6","1","T0_T9","c_Viruses","VP",-881236.673333333,524211.729936846,0.687241045024214,"LM_SR_AVG",NA
"NJ2020","7","1","T0_T12","c_Viruses","VP",-67488.2729222222,17181.3448114646,0.135600532628298,"LM_SR_AVG",NA
"NJ2020","7","1","T0_T24","c_Viruses","VP",-47886.9936027778,19689.965885228,0.229242346002563,"LM_SR_AVG",NA
"NJ2020","7","1","T0_T3","c_Viruses","VP",133702.914111111,194078.170254122,1,"LM_SR_AVG",NA
"NJ2020","7","1","T0_T6","c_Viruses","VP",21122.9566666668,139727.715792781,0.667758228187152,"LM_SR_AVG",NA
"NJ2020","7","1","T0_T9","c_Viruses","VP",-149410.092411111,15290.2217904019,0.554978247534045,"LM_SR_AVG",NA
"NJ2020","1","1","T0_T3","c_Viruses","VP",-79829.4243333333,NA,1,"LM_AR",-239488.273
"NJ2020","1","1","T0_T6","c_Viruses","VP",-164548.685166668,48912.6880476707,0.918813881848968,"LM_AR",-987292.111000005
"NJ2020","1","1","T0_T17","c_Viruses","VP",57873.7481454544,56208.3561397892,0.346434207907488,"LM_AR",983853.718472725
"NJ2020","1","1","T0_T20","c_Viruses","VP",58624.4727857143,33442.4436682481,0.506009824381673,"LM_AR",1172489.45571429
"NJ2020","1","1","T0_T24","c_Viruses","VP",68321.9039749999,23842.6763243936,0.6724335318188,"LM_AR",1639725.6954
"NJ2020","2","1","T0_T3","c_Viruses","VP",-864818.763333332,NA,1,"LM_AR",-2594456.29
"NJ2020","2","1","T0_T6","c_Viruses","VP",-800817.342222226,36951.2377070214,0.997875447936815,"LM_AR",-4804904.05333336
"NJ2020","2","1","T0_T17.5","c_Viruses","VP",1551505.77345192,562040.59383704,0.79210603065708,"LM_AR",27151351.0354085
"NJ2020","2","1","T0_T20.5","c_Viruses","VP",2223299.65889091,532753.407928739,0.853055015979073,"LM_AR",45577643.0072637
"NJ2020","2","1","T0_T24","c_Viruses","VP",2899833.36079391,592213.7898153,0.857023779781683,"LM_AR",69596000.6590539
"NJ2020","3","1","T0_T3","c_Viruses","VP",517242.358888891,NA,1,"LM_AR",1551727.07666667
"NJ2020","3","1","T0_T6","c_Viruses","VP",-138606.965555557,378654.784015833,0.118160606406156,"LM_AR",-831641.793333343
"NJ2020","3","1","T0_T9","c_Viruses","VP",-178968.017333333,170935.350133177,0.354045466070599,"LM_AR",-1610712.156
"NJ2020","3","1","T0_T12","c_Viruses","VP",-313606.254444444,125626.893110166,0.675031582823802,"LM_AR",-3763275.05333333
"NJ2020","3","1","T0_T24","c_Viruses","VP",361534.470583333,202345.57078675,0.443854401711805,"LM_AR",8676827.29399999
"NJ2020","4","1","T0_T3","c_Viruses","VP",423312.01111111,NA,1,"LM_AR",1269936.03333333
"NJ2020","4","1","T0_T6","c_Viruses","VP",3072992.18222222,1529793.56005741,0.80139529448071,"LM_AR",18437953.0933333
"NJ2020","4","1","T0_T9","c_Viruses","VP",2420796.02,780922.709759269,0.827727127160548,"LM_AR",21787164.18
"NJ2020","4","1","T0_T12","c_Viruses","VP",1798379.53111111,576553.716566095,0.764323899071211,"LM_AR",21580554.3733333
"NJ2020","4","1","T0_T24","c_Viruses","VP",891115.849583333,361830.912514538,0.602597654091794,"LM_AR",21386780.39
"NJ2020","5","1","T0_T3","c_Viruses","VP",197725.657777778,NA,1,"LM_AR",593176.973333334
"NJ2020","5","1","T0_T6","c_Viruses","VP",205792.466111111,4657.37396275137,0.999488081413088,"LM_AR",1234754.79666667
"NJ2020","5","1","T0_T9","c_Viruses","VP",-65415.7785555551,156596.00532848,0.0802497332388325,"LM_AR",-588742.006999996
"NJ2020","5","1","T0_T12","c_Viruses","VP",84825.8704444449,125292.80636317,0.132536191280483,"LM_AR",1017910.44533334
"NJ2020","5","1","T0_T24","c_Viruses","VP",31821.2508055552,56369.7881459051,0.0737890009951765,"LM_AR",763710.019333324
"NJ2020","6","1","T0_T3","c_Viruses","VP",-170717.838888886,NA,1,"LM_AR",-512153.516666659
