"Location","Station_Number","Depth","Time_Range","Population","Sample_Type","Replicate","VP","VP_SE","VP_R_Squared","VP_Type","abs_VP"
"NJ2020","4","1","T0_T12","c_Viruses","VP","1",1788869.936,567754.452276732,0.7679351485874,"LM_SR",21466439.232
"NJ2020","4","1","T0_T24","c_Viruses","VP","1",831332.62275,369927.270098027,0.558025572593146,"LM_SR",19951982.946
"NJ2020","4","1","T0_T3","c_Viruses","VP","2",672921.106666666,NA,1,"LM_SR",2018763.32
"NJ2020","4","1","T0_T6","c_Viruses","VP","2",3109381.66333333,1406691.15826141,0.830104389112638,"LM_SR",18656289.98
"NJ2020","4","1","T0_T9","c_Viruses","VP","2",2193773.987,821706.64388191,0.780887049067432,"LM_SR",19743965.883
"NJ2020","4","1","T0_T12","c_Viruses","VP","2",1610191.89766667,581884.829266161,0.718505391504564,"LM_SR",19322302.772
"NJ2020","4","1","T0_T24","c_Viruses","VP","2",1033134.32858333,302051.711319038,0.745207681468983,"LM_SR",24795223.886
"NJ2020","4","1","T0_T3","c_Viruses","VP","3",475906.183333333,NA,1,"LM_SR",1427718.55
"NJ2020","4","1","T0_T6","c_Viruses","VP","3",3083582.09,1505542.3866733,0.807504745237523,"LM_SR",18501492.54
"NJ2020","4","1","T0_T9","c_Viruses","VP","3",2842473.34766667,687538.641937437,0.895245310937251,"LM_SR",25582260.129
"NJ2020","4","1","T0_T12","c_Viruses","VP","3",1996076.75966667,629575.668826556,0.77015266526697,"LM_SR",23952921.116
"NJ2020","4","1","T0_T24","c_Viruses","VP","3",808880.597416667,437917.149119228,0.460320811521113,"LM_SR",19413134.338
"NJ2020","5","1","T0_T3","c_Viruses","VP","1",333475.480000002,NA,1,"LM_SR",1000426.44000001
"NJ2020","5","1","T0_T6","c_Viruses","VP","1",1202238.805,501580.739550825,0.851744865335503,"LM_SR",7213432.83
"NJ2020","5","1","T0_T9","c_Viruses","VP","1",224434.967999999,607467.498890526,0.0638898557734194,"LM_SR",2019914.71199999
"NJ2020","5","1","T0_T12","c_Viruses","VP","1",151876.332333333,353214.532457787,0.0580509375006032,"LM_SR",1822515.988
"NJ2020","5","1","T0_T24","c_Viruses","VP","1",95058.635166666,153823.326437321,0.0871519762918073,"LM_SR",2281407.24399999
"NJ2020","5","1","T0_T3","c_Viruses","VP","2",478464.820000003,NA,1,"LM_SR",1435394.46000001
"NJ2020","5","1","T0_T6","c_Viruses","VP","2",79211.0883333312,230509.249452711,0.105613727835987,"LM_SR",475266.529999987
"NJ2020","5","1","T0_T9","c_Viruses","VP","2",-208102.345333334,195302.942131177,0.362116200455004,"LM_SR",-1872921.108
"NJ2020","5","1","T0_T12","c_Viruses","VP","2",116140.725000001,218538.179627177,0.0860436134222567,"LM_SR",1393688.70000001
"NJ2020","5","1","T0_T24","c_Viruses","VP","2",-22702.5586666668,102767.968144081,0.0120533447125856,"LM_SR",-544861.408000004
"NJ2020","5","1","T0_T3","c_Viruses","VP","3",-218763.326666666,NA,1,"LM_SR",-656289.979999997
"NJ2020","5","1","T0_T6","c_Viruses","VP","3",-664072.495000002,257099.368209857,0.869648825619923,"LM_SR",-3984434.97000001
"NJ2020","5","1","T0_T9","c_Viruses","VP","3",-212579.958333334,284900.896070924,0.217755654668031,"LM_SR",-1913219.625
"NJ2020","5","1","T0_T12","c_Viruses","VP","3",-13539.4459999993,200653.637006601,0.00151540191673951,"LM_SR",-162473.351999991
"NJ2020","5","1","T0_T24","c_Viruses","VP","3",23107.6759166664,87527.2558234118,0.0171263033512732,"LM_SR",554584.221999993
"NJ2020","6","1","T0_T3","c_Viruses","VP","1",205543.710000004,NA,1,"LM_SR",616631.130000012
"NJ2020","6","1","T0_T6","c_Viruses","VP","1",-813432.835000001,588306.382553665,0.656566611120903,"LM_SR",-4880597.01000001
"NJ2020","6","1","T0_T9","c_Viruses","VP","1",-1921961.62,691977.53022903,0.794121305221528,"LM_SR",-17297654.58
"NJ2020","6","1","T0_T12","c_Viruses","VP","1",-836289.978333333,743306.983657282,0.296738043244253,"LM_SR",-10035479.74
"NJ2020","6","1","T0_T24","c_Viruses","VP","1",-100191.8975,385678.757355384,0.0165915781421648,"LM_SR",-2404605.54
"NJ2020","6","1","T0_T3","c_Viruses","VP","2",241364.606666667,NA,1,"LM_SR",724093.82
"NJ2020","6","1","T0_T6","c_Viruses","VP","2",-260767.59,289906.158914278,0.447233346933335,"LM_SR",-1564605.54
"NJ2020","6","1","T0_T9","c_Viruses","VP","2",-251044.775666667,129771.442293003,0.651710385567342,"LM_SR",-2259402.981
"NJ2020","6","1","T0_T12","c_Viruses","VP","2",-244434.967666667,75020.7011355378,0.779672367979455,"LM_SR",-2933219.61200001
"NJ2020","6","1","T0_T24","c_Viruses","VP","2",-81599.1472500003,57139.2611726104,0.337682337202207,"LM_SR",-1958379.53400001
"NJ2020","6","1","T0_T3","c_Viruses","VP","3",-959061.833333333,NA,1,"LM_SR",-2877185.5
"NJ2020","6","1","T0_T6","c_Viruses","VP","3",-178464.818333336,450677.89673887,0.135553525753585,"LM_SR",-1070788.91000002
"NJ2020","6","1","T0_T9","c_Viruses","VP","3",-470703.624333333,262849.678014949,0.615891444283771,"LM_SR",-4236332.619
"NJ2020","6","1","T0_T12","c_Viruses","VP","3",-396972.281333333,157613.730549452,0.678922844155193,"LM_SR",-4763667.376
"NJ2020","6","1","T0_T24","c_Viruses","VP","3",-222057.569083333,84896.9250971239,0.631045171441137,"LM_SR",-5329381.658
"NJ2020","7","1","T0_T3","c_Viruses","VP","1",403155.650333333,NA,1,"LM_SR",1209466.951
"NJ2020","7","1","T0_T6","c_Viruses","VP","1",293176.972166667,63496.2194446442,0.955194843834889,"LM_SR",1759061.833
"NJ2020","7","1","T0_T9","c_Viruses","VP","1",-118925.3732,239615.946177047,0.109658934600706,"LM_SR",-1070328.3588
"NJ2020","7","1","T0_T12","c_Viruses","VP","1",-98805.9701666666,138829.142042463,0.144453326251583,"LM_SR",-1185671.642
"NJ2020","7","1","T0_T24","c_Viruses","VP","1",-80460.5543666667,60347.6030395501,0.307676866213234,"LM_SR",-1931053.3048
"NJ2020","7","1","T0_T3","c_Viruses","VP","2",240938.166333334,NA,1,"LM_SR",722814.499000001
"NJ2020","7","1","T0_T6","c_Viruses","VP","2",-59573.5606666667,173500.526478089,0.105463805967893,"LM_SR",-357441.364
"NJ2020","7","1","T0_T9","c_Viruses","VP","2",-162558.635366667,97753.7471129522,0.580305420109121,"LM_SR",-1463027.7183
"NJ2020","7","1","T0_T12","c_Viruses","VP","2",-64076.7590333333,80113.4092828347,0.175761012401888,"LM_SR",-768921.1084
"NJ2020","7","1","T0_T24","c_Viruses","VP","2",-50765.4584333334,34902.3005500489,0.345932359348938,"LM_SR",-1218371.0024
