"Location","Station_Number","Depth","Time_Range","Population","Sample_Type","VP","abs_VP","VP_SE","VP_R_Squared","VP_Method","B_0","B_OS","V_OS","c_VP","c_abs_VP","c_VP_SE","P_Cells_BS_10","Rate_BS_10","P_BP_Lysed_BS_10","P_B_Loss_BS_10","P_Cells_BS_25","Rate_BS_25","P_BP_Lysed_BS_25","P_B_Loss_BS_25","P_Cells_BS_40","Rate_BS_40","P_BP_Lysed_BS_40","P_B_Loss_BS_40","V_TT","DOC_V","DON_V","DOP_V","DOC_B_BS_10","Total_DOC_BS_10","DON_B_BS_10","Total_DON_BS_10","DOP_B_BS_10","Total_DOP_BS_10","DOC_B_BS_25","Total_DOC_BS_25","DON_B_BS_25","Total_DON_BS_25","DOP_B_BS_25","Total_DOP_BS_25","DOC_B_BS_40","Total_DOC_BS_40","DON_B_BS_40","Total_DON_BS_40","DOP_B_BS_40","Total_DOP_BS_40"
"NJ2020",1,1,"T0_T3","c_Viruses","VP",-79829.4243333331,-239488.272999999,61864.260569183,0.293925314763402,"LM_ALLPOINTS",1507462.68666667,3454942.339,182285832,-182960.454322818,-548881.362968454,141786.231262559,-3.64109418974842,-18296.0454322818,-6.77631312306734,-12.7094766652997,-1.45643767589937,-7318.41817291272,-2.71052524922694,-5.08379066611987,-0.910273547437104,-4574.01135807045,-1.69407828076683,-3.17736916632492,-0.00100370090376974,-6.07396810888823e-12,-2.39666728385298e-12,-8.6968351871549e-13,-3.47624863213354e-10,-3.53698831322243e-10,-9.14802271614091e-11,-9.3876894445262e-11,-1.46368363458254e-11,-1.55065198645409e-11,-1.39049945285342e-10,-1.4512391339423e-10,-3.65920908645636e-11,-3.89887581484166e-11,-5.85473453833018e-12,-6.72441805704567e-12,-8.69062158033386e-11,-9.29801839122268e-11,-2.28700567903523e-11,-2.52667240742052e-11,-3.65920908645636e-12,-4.52889260517185e-12
"NJ2020",1,1,"T0_T6","c_Viruses","VP",-164548.685166667,-987292.110999999,46757.7671717812,0.63888824127238,"LM_ALLPOINTS",1507462.68666667,3454942.339,182285832,-377127.887965302,-2262767.3277918,107163.773211597,-15.0104367279251,-37712.7887965301,-13.9676995542704,-26.1974540327263,-6.00417469117005,-15085.1155186121,-5.58707982170817,-10.4789816130905,-3.75260918198128,-9428.19719913254,-3.49192488856761,-6.54936350818157,-0.00206888206191089,-1.25199883928575e-11,-4.94013897298398e-12,-1.79263824975373e-12,-7.16542987134073e-10,-7.2906297552693e-10,-1.88563943982651e-10,-1.93504082955635e-10,-3.01702310372241e-11,-3.19628692869778e-11,-2.86617194853629e-10,-2.99137183246487e-10,-7.54255775930603e-11,-8.03657165660443e-11,-1.20680924148896e-11,-1.38607306646434e-11,-1.79135746783518e-10,-1.91655735176376e-10,-4.71409859956627e-11,-5.20811249686467e-11,-7.54255775930603e-12,-9.33519600905976e-12
"NJ2020",1,1,"T0_T17","c_Viruses","VP",57873.7481454545,983853.718472727,28041.8489544932,0.298708945068047,"LM_ALLPOINTS",1507462.68666667,3454942.339,182285832,132640.405996707,2254886.90194402,64268.901693979,14.958160635671,13264.0405996707,4.91260762950767,9.21395911007408,5.98326425426841,5305.61623986828,1.96504305180307,3.68558364402963,3.73954015891776,3316.01014991768,1.22815190737692,2.30348977751852,0.000727650660182449,4.40343023281129e-12,1.7375061881317e-12,6.30492394862187e-13,2.52016771393743e-10,2.56420201626555e-10,6.63202029983535e-11,6.80577091864852e-11,1.06112324797366e-11,1.12417248745988e-11,1.00806708557497e-10,1.05210138790309e-10,2.65280811993414e-11,2.82655873874731e-11,4.24449299189463e-12,4.87498538675681e-12,6.30041928484359e-11,6.74076230812471e-11,1.65800507495884e-11,1.83175569377201e-11,2.65280811993414e-12,3.28330051479633e-12
"NJ2020",1,1,"T0_T20","c_Viruses","VP",58624.4727857143,1172489.45571429,20082.897001578,0.395946898042916,"LM_ALLPOINTS",1507462.68666667,3454942.339,182285832,134360.986126156,2687219.72252313,46027.8398624606,17.8261110294223,13436.0986126156,4.97633281948725,9.33348041912933,7.13044441176892,5374.43944504623,1.9905331277949,3.73339216765173,4.45652775735558,3359.0246531539,1.24408320487181,2.33337010478233,0.000737089573292541,4.46055049343667e-12,1.76004470947917e-12,6.38670993820904e-13,2.55285873639696e-10,2.59746424133133e-10,6.71804930630779e-11,6.89405377725571e-11,1.07488788900925e-11,1.13875498839134e-11,1.02114349455878e-10,1.06574899949315e-10,2.68721972252312e-11,2.86322419347103e-11,4.29955155603699e-12,4.93822254985789e-12,6.3821468409924e-11,6.82820189033607e-11,1.67951232657695e-11,1.85551679752487e-11,2.68721972252312e-12,3.32589071634402e-12
"NJ2020",1,1,"T0_T24","c_Viruses","VP",68321.903975,1639725.6954,22527.9753035308,0.365019467186228,"LM_ALLPOINTS",1507462.68666667,3454942.339,182285832,156586.455381045,3758074.92914507,51631.6963441534,24.9298039837723,15658.6455381045,5.7994983474461,10.8773882756979,9.97192159350892,6263.45821524179,2.31979933897844,4.35095531027914,6.23245099594307,3914.66138452612,1.44987458686153,2.71934706892447,0.00085901605002985,5.19839732464907e-12,2.05118442723199e-12,7.44317453752568e-13,2.97514265223985e-10,3.02712662548634e-10,7.82932276905224e-11,8.03444121177544e-11,1.25269164304836e-11,1.32712338842361e-11,1.19005706089594e-10,1.24204103414243e-10,3.1317291076209e-11,3.33684755034409e-11,5.01076657219343e-12,5.755084025946e-12,7.43785663059963e-11,7.95769636306453e-11,1.95733069226306e-11,2.16244913498626e-11,3.1317291076209e-12,3.87604656137346e-12
"NJ2020",2,1,"T0_T3","c_Viruses","VP",-864818.763333335,-2594456.29,50303.3633057714,0.986647401000397,"LM_ALLPOINTS",856929.637533333,3231054.366,204686985.2,-3260800.32557889,-9782400.97673665,189668.899889432,-114.156408510916,-326080.032557889,-120.770382428848,-242.209504852056,-45.6625634043665,-130432.013023156,-48.3081529715391,-96.8838019408224,-28.539102127729,-81520.0081394723,-30.1925956072119,-60.552376213014,-0.0159306676112932,-1.08252885905457e-10,-4.27144406064005e-11,-1.54998757052408e-11,-6.19552061859989e-09,-6.30377350450535e-09,-1.63040016278945e-09,-1.67311460339585e-09,-2.60864026046311e-10,-2.76363901751552e-10,-2.47820824743996e-09,-2.58646113334541e-09,-6.52160065115778e-10,-6.94874505722179e-10,-1.04345610418524e-10,-1.19845486123765e-10,-1.54888015464997e-09,-1.65713304055543e-09,-4.07600040697361e-10,-4.50314481303762e-10,-6.52160065115778e-11,-8.07158822168186e-11
"NJ2020",2,1,"T0_T6","c_Viruses","VP",-800817.342222223,-4804904.05333334,70874.2879186495,0.94802116388009,"LM_ALLPOINTS",856929.637533333,3231054.366,204686985.2,-3019482.880069,-18116897.280414,267231.599172909,-211.416392745656,-301948.2880069,-111.832699261815,-224.284648021475,-84.5665570982624,-120779.31520276,-44.7330797047259,-89.7138592085899,-52.854098186414,-75487.0720017249,-27.9581748154537,-56.0711620053687,-0.0147517091871701,-1.00241567429174e-10,-3.95533333123834e-11,-1.43527982894393e-11,-5.73701747213109e-09,-5.83725903956027e-09,-1.5097414400345e-09,-1.54929477334688e-09,-2.4155863040552e-10,-2.55911428694959e-10,-2.29480698885244e-09,-2.39504855628161e-09,-6.03896576013799e-10,-6.43449909326183e-10,-9.66234521622079e-11,-1.10976250451647e-10,-1.43425436803277e-09,-1.53449593546195e-09,-3.77435360008624e-10,-4.16988693321008e-10,-6.03896576013799e-11,-7.47424558908192e-11
"NJ2020",2,1,"T0_T17.5","c_Viruses","VP",1551505.77345192,27151351.0354085,313474.817302074,0.710114304739087,"LM_ALLPOINTS",856929.637533333,3231054.366,204686985.2,5849954.63293337,102374206.076334,1181957.22578859,1194.66291737811,584995.463293337,216.664986404939,434.529708530447,477.865166951243,233998.185317335,86.6659945619758,173.811883412179,298.665729344527,146248.865823334,54.1662466012349,108.632427132612,0.0285800029113593,1.94208294958572e-10,7.66307393183325e-11,2.78071518149972e-11,1.11149138025734e-08,1.1309122097532e-08,2.92497731646668e-09,3.00160805578502e-09,4.67996370634669e-10,4.95803522449666e-10,4.44596552102936e-09,4.64017381598793e-09,1.16999092658667e-09,1.24662166590501e-09,1.87198548253868e-10,2.15005700068865e-10,2.77872845064335e-09,2.97293674560192e-09,7.31244329116671e-10,8.07875068435003e-10,1.16999092658667e-10,1.44806244473665e-10
"NJ2020",2,1,"T0_T20.5","c_Viruses","VP",2223299.65889091,45577643.0072637,395260.813377278,0.708777563510705,"LM_ALLPOINTS",856929.637533333,3231054.366,204686985.2,8382954.39338957,171850565.064486,1490331.43543444,2005.422120294,838295.439338957,310.479792347762,622.67879970841,802.168848117598,335318.175735583,124.191916939105,249.071519883364,501.355530073499,209573.859834739,77.6199480869404,155.669699927102,0.0409549946968957,2.78299470954923e-10,1.09811448659934e-10,3.98475031178651e-11,1.59276133474402e-08,1.62059128183951e-08,4.19147719669478e-09,4.30128864535472e-09,6.70636351471165e-10,7.10483854589031e-10,6.37104533897607e-09,6.64934480993099e-09,1.67659087867791e-09,1.78640232733785e-09,2.68254540588466e-10,3.08102043706331e-10,3.98190333686004e-09,4.26020280781497e-09,1.0478692991737e-09,1.15768074783363e-09,1.67659087867791e-10,2.07506590985656e-10
"NJ2020",2,1,"T0_T24","c_Viruses","VP",2899833.36079391,69596000.6590539,458625.479531729,0.714177496772995,"LM_ALLPOINTS",856929.637533333,3231054.366,204686985.2,10933825.6382819,262411815.318767,1729247.99551258,3062.2329281797,1093382.56382819,404.956505121554,812.155369714899,1224.89317127188,437353.025531278,161.982602048621,324.862147885959,765.558232044926,273345.640957049,101.239126280388,203.038842428725,0.0534172977710258,3.62983949077276e-10,1.43226263246959e-10,5.19728046660013e-11,2.07742687127357e-08,2.1137252661813e-08,5.46691281914097e-09,5.61013908238793e-09,8.74706051062556e-10,9.26678855728557e-10,8.30970748509428e-09,8.67269143417156e-09,2.18676512765639e-09,2.32999139090335e-09,3.49882420425022e-10,4.01855225091024e-10,5.19356717818393e-09,5.5565511272612e-09,1.36672820478524e-09,1.5099544680322e-09,2.18676512765639e-10,2.7064931743164e-10
