"Location","Expt_No","Depth","Time_Range","Population","Sample_Type","VP","VP_SE","VP_R_Squared","VP_Type"
"NJ2020","1","1","T0_T6","c_Viruses","VPC",260398.009950249,187320.208466727,NA,"VPCL_SR_AVG"
"NJ2020","1","1","T0_T6","c_V1","VPC",208269.772229485,152049.051689337,NA,"VPCL_SR_AVG"
"NJ2020","1","1","T0_T6","c_V2","VPC",26546.4318418767,24743.6083425907,NA,"VPCL_SR_AVG"
"NJ2020","1","1","T0_T6","c_V3","VPC",33313.2881659102,16666.9698066727,NA,"VPCL_SR_AVG"
"NJ2020","1","1","T0_T6","c_Viruses","Diff",249765.458422174,374640.416933454,NA,"VPCL_SR_AVG"
"NJ2020","1","1","T0_T6","c_V1","Diff",208269.772229485,304098.103378675,NA,"VPCL_SR_AVG"
"NJ2020","1","1","T0_T6","c_V2","Diff",16300.1027887822,49487.2166851815,NA,"VPCL_SR_AVG"
"NJ2020","1","1","T0_T6","c_V3","Diff",17979.3337846365,33333.9396133455,NA,"VPCL_SR_AVG"
"NJ2020","1","1","T0_T6","c_Viruses","VP",0,NA,NA,"VPCL_AR_No_SE"
"NJ2020","1","1","T0_T6","c_V1","VP",0,NA,NA,"VPCL_AR_No_SE"
"NJ2020","1","1","T0_T6","c_V2","VP",0,NA,NA,"VPCL_AR_No_SE"
"NJ2020","1","1","T0_T6","c_V3","VP",15333.9543812737,NA,NA,"VPCL_AR_No_SE"
"NJ2020","1","1","T0_T6","c_Viruses","VPC",238948.116560057,NA,NA,"VPCL_AR_No_SE"
"NJ2020","1","1","T0_T6","c_V1","VPC",187807.407487318,NA,NA,"VPCL_AR_No_SE"
"NJ2020","1","1","T0_T6","c_V2","VPC",23399.3027168189,NA,NA,"VPCL_AR_No_SE"
"NJ2020","1","1","T0_T6","c_V3","VPC",27741.4063559212,NA,NA,"VPCL_AR_No_SE"
"NJ2020","1","1","T0_T6","c_Viruses","Diff",238948.116560057,NA,NA,"VPCL_AR_No_SE"
"NJ2020","1","1","T0_T6","c_V1","Diff",187807.407487318,NA,NA,"VPCL_AR_No_SE"
"NJ2020","1","1","T0_T6","c_V2","Diff",23399.3027168189,NA,NA,"VPCL_AR_No_SE"
"NJ2020","1","1","T0_T6","c_V3","Diff",12407.4519746475,NA,NA,"VPCL_AR_No_SE"
"NJ2020","1","1","T0_T6","c_Viruses","VP",0,NA,NA,"VPCL_AR_Diff_No_SE"
"NJ2020","1","1","T0_T6","c_V1","VP",0,NA,NA,"VPCL_AR_Diff_No_SE"
"NJ2020","1","1","T0_T6","c_V2","VP",0,NA,NA,"VPCL_AR_Diff_No_SE"
"NJ2020","1","1","T0_T6","c_V3","VP",15333.9543812737,NA,NA,"VPCL_AR_Diff_No_SE"
"NJ2020","1","1","T0_T6","c_Viruses","VPC",238948.116560057,NA,NA,"VPCL_AR_Diff_No_SE"
"NJ2020","1","1","T0_T6","c_V1","VPC",187807.407487318,NA,NA,"VPCL_AR_Diff_No_SE"
"NJ2020","1","1","T0_T6","c_V2","VPC",23399.3027168189,NA,NA,"VPCL_AR_Diff_No_SE"
"NJ2020","1","1","T0_T6","c_V3","VPC",27741.4063559212,NA,NA,"VPCL_AR_Diff_No_SE"
"NJ2020","1","1","T0_T6","c_Viruses","Diff",777213.930348258,NA,NA,"VPCL_AR_Diff_No_SE"
"NJ2020","1","1","T0_T6","c_V1","Diff",607211.817995924,NA,NA,"VPCL_AR_Diff_No_SE"
"NJ2020","1","1","T0_T6","c_V2","Diff",224919.585499354,NA,NA,"VPCL_AR_Diff_No_SE"
"NJ2020","1","1","T0_T6","c_V3","Diff",155967.952456782,NA,NA,"VPCL_AR_Diff_No_SE"
"NJ2020","1","1","T0_T6","c_Viruses","VP",0,0,NA,"VPCL_AR_SE"
"NJ2020","1","1","T0_T6","c_V1","VP",0,0,NA,"VPCL_AR_SE"
"NJ2020","1","1","T0_T6","c_V2","VP",0,0,NA,"VPCL_AR_SE"
"NJ2020","1","1","T0_T6","c_V3","VP",0,0,NA,"VPCL_AR_SE"
"NJ2020","1","1","T0_T6","c_Viruses","VPC",238948.116560057,208281.811217724,NA,"VPCL_AR_SE"
"NJ2020","1","1","T0_T6","c_V1","VPC",187807.407487318,169972.480813979,NA,"VPCL_AR_SE"
"NJ2020","1","1","T0_T6","c_V2","VPC",0,0,NA,"VPCL_AR_SE"
"NJ2020","1","1","T0_T6","c_V3","VPC",27741.4063559212,24926.6243490831,NA,"VPCL_AR_SE"
"NJ2020","1","1","T0_T6","c_Viruses","Diff",238948.116560057,NA,NA,"VPCL_AR_SE"
"NJ2020","1","1","T0_T6","c_V1","Diff",187807.407487318,NA,NA,"VPCL_AR_SE"
"NJ2020","1","1","T0_T6","c_V2","Diff",0,NA,NA,"VPCL_AR_SE"
"NJ2020","1","1","T0_T6","c_V3","Diff",27741.4063559212,NA,NA,"VPCL_AR_SE"
"NJ2020","1","1","T0_T6","c_Viruses","VP",0,0,NA,"VPCL_AR_Diff_SE"
"NJ2020","1","1","T0_T6","c_V1","VP",0,0,NA,"VPCL_AR_Diff_SE"
"NJ2020","1","1","T0_T6","c_V2","VP",0,0,NA,"VPCL_AR_Diff_SE"
"NJ2020","1","1","T0_T6","c_V3","VP",0,0,NA,"VPCL_AR_Diff_SE"
"NJ2020","1","1","T0_T6","c_Viruses","VPC",238948.116560057,208281.811217724,NA,"VPCL_AR_Diff_SE"
"NJ2020","1","1","T0_T6","c_V1","VPC",187807.407487318,169972.480813979,NA,"VPCL_AR_Diff_SE"
"NJ2020","1","1","T0_T6","c_V2","VPC",0,0,NA,"VPCL_AR_Diff_SE"
