Sample_Name,Staining_Protocol,Expt_Date,Date_Measurement,Location,Expt_No,Depth,Sample_Type,Timepoint,Replicate,c_Bacteria,c_HNA,c_LNA,c_Viruses,c_V1,c_V2,c_V3,VBR,HNAperLNA,,,,,,,,,,,,
vi201105.070,Viruses,18-08-20,05-11-20,NJ2020,3,1,VP,24,3,9234754.797,7766894.671,1467860.127,24710021.32,22321594.45,1448820.491,939606.3804,2.675763663,5.291304348,,,,,,,,,,,,
vi201105.132,Viruses,18-08-20,05-11-20,NJ2020,3,1,VPC,24,3,1466353.945,732154.4103,734199.5343,7282643.923,5699135.195,1007460.671,576048.0572,4.966497993,0.997214485,,,,,,,,,,,,
vi201109.014,Viruses,20-08-20,09-11-20,NJ2020,4,1,0.22,0,1,5117.270789,731.0386841,4386.232105,59151812.37,49919852.51,8064787.114,1167172.738,11559.25,0.166666667,,,,,,,,,,,,
vi201109.033,Viruses,20-08-20,09-11-20,NJ2020,4,1,VP,0,1,1530703.625,845713.7527,684989.8721,16309381.66,13460316.43,2117297.498,731767.7318,10.65482658,1.234636872,,,,,,,,,,,,
vi201109.087,Viruses,20-08-20,09-11-20,NJ2020,4,1,VPC,0,1,3012793.177,1539588.378,1473204.799,32048187.63,26589659.24,4074018.418,1384509.977,10.6373673,1.045060659,,,,,,,,,,,,
vi201109.015,Viruses,20-08-20,09-11-20,NJ2020,4,1,0.22,0,2,0,0,0,58000426.44,49256202.26,7539854.709,1204369.471,Inf,NA,,,,,,,,,,,,
vi201109.034,Viruses,20-08-20,09-11-20,NJ2020,4,1,VP,0,2,1489765.458,825238.2291,664527.2293,15695309.17,12832510.5,2160392.776,702405.8941,10.53542293,1.24184261,,,,,,,,,,,,
vi201109.088,Viruses,20-08-20,09-11-20,NJ2020,4,1,VPC,0,2,3079317.697,1632855.446,1446462.252,30882729.21,25341195.45,4172864.481,1368669.275,10.02908184,1.12886143,,,,,,,,,,,,
vi201109.016,Viruses,20-08-20,09-11-20,NJ2020,4,1,0.22,0,3,48614.07249,10127.93177,38486.14072,59717270.79,50491182.16,8093852.988,1132235.638,1228.394737,0.263157895,,,,,,,,,,,,
vi201109.035,Viruses,20-08-20,09-11-20,NJ2020,4,1,VP,0,3,1583155.65,859828.2903,723327.36,16042004.26,13307079.52,1984986.102,749938.6395,10.13292929,1.188712522,,,,,,,,,,,,
vi201109.089,Viruses,20-08-20,09-11-20,NJ2020,4,1,VPC,0,3,3019189.765,1554914.645,1464275.121,29229850.75,23545218.28,4261583.673,1423048.792,9.681355932,1.06190061,,,,,,,,,,,,
vi201109.036,Viruses,20-08-20,09-11-20,NJ2020,4,1,VP,3,1,1537100.213,881440.8692,655659.3441,16672707.89,14047152.89,2009745.258,615809.737,10.84685809,1.344357977,,,,,,,,,,,,
vi201109.090,Viruses,20-08-20,09-11-20,NJ2020,4,1,VPC,3,1,2984648.188,1554876.601,1429771.587,30552665.25,25223858.66,3971695.131,1357111.452,10.23660523,1.0875,,,,,,,,,,,,
vi201109.037,Viruses,20-08-20,09-11-20,NJ2020,4,1,VP,3,2,1535820.896,878887.539,656933.3565,17714072.49,15029031.23,2054435.177,630606.0846,11.53394419,1.337864078,,,,,,,,,,,,
vi201109.091,Viruses,20-08-20,09-11-20,NJ2020,4,1,VPC,3,2,3002558.635,1595747.574,1406811.061,30244349.68,24551859.4,4275042.547,1417447.736,10.07285897,1.13430127,,,,,,,,,,,,
vi201109.038,Viruses,20-08-20,09-11-20,NJ2020,4,1,VP,3,3,1567803.838,904453.1498,663350.6881,17469722.81,14885062.5,1910886.649,673773.6692,11.14279886,1.363461538,,,,,,,,,,,,
vi201109.092,Viruses,20-08-20,09-11-20,NJ2020,4,1,VPC,3,3,2915565.032,1549691.746,1365873.286,29548400.85,24079696.43,4166451.846,1302252.574,10.13470821,1.134579439,,,,,,,,,,,,
vi201109.051,Viruses,20-08-20,09-11-20,NJ2020,4,1,VP,6,1,3176545.842,1802594.086,1373951.756,34465458.42,28927848.83,4238710.702,1298898.889,10.84997986,1.311977716,,,,,,,,,,,,
vi201109.106,Viruses,20-08-20,09-11-20,NJ2020,4,1,VPC,6,1,3076119.403,1504873.351,1571246.052,36326865.67,30689872.84,4239757.061,1397235.775,11.80931587,0.95775792,,,,,,,,,,,,
vi201109.052,Viruses,20-08-20,09-11-20,NJ2020,4,1,VP,6,2,3295522.388,1945672.335,1349850.053,34351599.15,28538947.97,4483650.033,1329001.146,10.42371894,1.441398866,,,,,,,,,,,,
vi201109.107,Viruses,20-08-20,09-11-20,NJ2020,4,1,VPC,6,2,3241151.386,1542068.088,1699083.298,33882089.55,28597251.73,3911512.762,1373325.056,10.45372015,0.907588279,,,,,,,,,,,,
vi201109.053,Viruses,20-08-20,09-11-20,NJ2020,4,1,VP,6,3,3260980.81,1898411.364,1362569.447,34543496.8,28785618.61,4373422.223,1384455.971,10.59297764,1.393258427,,,,,,,,,,,,
vi201109.108,Viruses,20-08-20,09-11-20,NJ2020,4,1,VPC,6,3,3300000,1483404.255,1816595.745,36077398.72,30251203.54,4406312.979,1419882.202,10.93254507,0.81658468,,,,,,,,,,,,
vi201109.054,Viruses,20-08-20,09-11-20,NJ2020,4,1,VP,9,1,3450319.829,2128377.765,1321942.065,32639872.07,27211827.3,4077628.632,1350416.136,9.459955506,1.61003861,,,,,,,,,,,,
vi201109.109,Viruses,20-08-20,09-11-20,NJ2020,4,1,VPC,9,1,3615991.471,1691803.919,1924187.552,40528144.99,33933601.92,5023449.202,1571093.866,11.20803113,0.879230259,,,,,,,,,,,,
vi201109.055,Viruses,20-08-20,09-11-20,NJ2020,4,1,VP,9,2,3449040.512,2119443.688,1329596.823,32087206.82,26560386.06,4211987.464,1314833.296,9.303227003,1.594049904,,,,,,,,,,,,
vi201109.110,Viruses,20-08-20,09-11-20,NJ2020,4,1,VPC,9,2,3079957.356,1584014.537,1495942.819,33082515.99,27568131.81,4092213.638,1422170.542,10.74122534,1.05887372,,,,,,,,,,,,
vi201109.056,Viruses,20-08-20,09-11-20,NJ2020,4,1,VP,9,3,3171428.571,1986288.932,1185139.639,38775479.74,33091248.14,4313565.829,1370665.777,12.22650262,1.675995694,,,,,,,,,,,,
vi201109.111,Viruses,20-08-20,09-11-20,NJ2020,4,1,VPC,9,3,3333262.26,1654503.213,1678759.047,34720042.64,28799196.73,4483919.168,1436926.746,10.41623489,0.985551331,,,,,,,,,,,,
vi201109.069,Viruses,20-08-20,09-11-20,NJ2020,4,1,VP,12,1,4185287.846,2761703.196,1423584.65,35158848.61,29497678.07,4331729.733,1329440.807,8.400580773,1.939964158,,,,,,,,,,,,
vi201109.125,Viruses,20-08-20,09-11-20,NJ2020,4,1,VPC,12,1,3014072.495,1493677.125,1520395.37,34942004.26,29562427.55,4049198.052,1330378.662,11.59295416,0.982426778,,,,,,,,,,,,
vi201109.070,Viruses,20-08-20,09-11-20,NJ2020,4,1,VP,12,2,4268443.497,2673836.691,1594606.805,32661620.47,27175134.18,4230270.121,1256216.172,7.651880713,1.6768,,,,,,,,,,,,
vi201109.126,Viruses,20-08-20,09-11-20,NJ2020,4,1,VPC,12,2,3145842.217,1473659.097,1672183.12,34457142.86,28761820.35,4194826.504,1500496.003,10.95323302,0.881278539,,,,,,,,,,,,
vi201109.071,Viruses,20-08-20,09-11-20,NJ2020,4,1,VP,12,3,4048400.853,2656842.778,1391558.075,35330277.19,29764704.25,4224683.992,1340888.942,8.726971085,1.909257562,,,,,,,,,,,,
vi201109.127,Viruses,20-08-20,09-11-20,NJ2020,4,1,VPC,12,3,3115138.593,1479945.336,1635193.256,35098081.02,29552824.06,4118864.894,1426392.072,11.26694045,0.905058366,,,,,,,,,,,,
vi201109.017,Viruses,20-08-20,09-11-20,NJ2020,4,1,0.22,24,1,248187.6333,233588.3607,14599.27254,54436247.33,45081622.68,8239487.236,1115137.415,219.3350515,16,,,,,,,,,,,,
vi201109.072,Viruses,20-08-20,09-11-20,NJ2020,4,1,VP,24,1,7580597.015,6007000.465,1573596.55,36268017.06,30501004.49,4434511.854,1332500.714,4.784321998,3.81737013,,,,,,,,,,,,
vi201109.128,Viruses,20-08-20,09-11-20,NJ2020,4,1,VPC,24,1,2827292.111,1302360.379,1524931.732,31160341.15,25204755.26,4530328.242,1425257.647,11.02126697,0.854045038,,,,,,,,,,,,
vi201109.018,Viruses,20-08-20,09-11-20,NJ2020,4,1,0.22,24,2,58848.61407,31526.04325,27322.57082,54710021.32,45532371.39,7994730.555,1182919.38,929.673913,1.153846154,,,,,,,,,,,,
vi201109.073,Viruses,20-08-20,09-11-20,NJ2020,4,1,VP,24,2,7997654.584,6224655.932,1772998.652,41636034.12,34817091.39,5271713.231,1547229.489,5.206030553,3.510806916,,,,,,,,,,,,
vi201109.129,Viruses,20-08-20,09-11-20,NJ2020,4,1,VPC,24,2,2889978.678,1269453.662,1620525.016,29898933.9,24318622.37,4264259.728,1316051.806,10.3457282,0.783359498,,,,,,,,,,,,
vi201109.019,Viruses,20-08-20,09-11-20,NJ2020,4,1,0.22,24,3,30703.62473,18060.95573,12642.66901,54894243.07,45470338.68,8135636.609,1288267.781,1787.875,1.428571429,,,,,,,,,,,,
vi201109.074,Viruses,20-08-20,09-11-20,NJ2020,4,1,VP,24,3,8041151.386,6476352.268,1564799.118,35868869.94,30143085.47,4451563.797,1274220.673,4.460663432,4.13877551,,,,,,,,,,,,
vi201109.130,Viruses,20-08-20,09-11-20,NJ2020,4,1,VPC,24,3,2484434.968,1213624.243,1270810.725,32722388.06,27185005.37,4263696.394,1273686.293,13.17095778,0.955,,,,,,,,,,,,
vi201109.161,Viruses,01-09-20,09-11-20,NJ2020,5,1,0.22,0,1,6396.588486,5330.490405,1066.098081,29206183.37,26117878.24,2919737.761,168567.3675,4565.9,5,,,,,,,,,,,,
vi201109.178,Viruses,01-09-20,09-11-20,NJ2020,5,1,VP,0,1,1307462.687,602286.0744,705176.6121,29823454.16,25405909.19,3941364.776,476180.1881,22.81017613,0.854092527,,,,,,,,,,,,
vi201111.013,Viruses,01-09-20,11-11-20,NJ2020,5,1,VPC,0,1,1465458.422,740392.5094,725065.9128,36558422.17,30938299.3,5035007.313,585115.563,24.94674814,1.021138211,,,,,,,,,,,,
vi201109.162,Viruses,01-09-20,09-11-20,NJ2020,5,1,0.22,0,2,8955.223881,3358.208955,5597.014925,26570788.91,23339393.16,3043012.787,188382.9625,2967.071429,0.6,,,,,,,,,,,,
vi201109.179,Viruses,01-09-20,09-11-20,NJ2020,5,1,VP,0,2,1372707.889,641769.1961,730938.693,30725373.13,25886899.97,4292903.578,545569.5909,22.38303821,0.878006873,,,,,,,,,,,,
vi201111.014,Viruses,01-09-20,11-11-20,NJ2020,5,1,VPC,0,2,1485927.505,695163.8607,790763.6446,36004477.61,30192647.21,5146545.278,665285.1213,24.23030564,0.879104478,,,,,,,,,,,,
vi201109.163,Viruses,01-09-20,09-11-20,NJ2020,5,1,0.22,0,3,8955.223881,1119.402985,7835.820896,25647121.54,22698988.99,2756108.583,192023.9586,2863.928571,0.142857143,,,,,,,,,,,,
vi201109.180,Viruses,01-09-20,09-11-20,NJ2020,5,1,VP,0,3,1333049.041,621336.4172,711712.6233,31574840.09,26842261.29,4213164.753,519414.0427,23.68618042,0.873015873,,,,,,,,,,,,
vi201111.015,Viruses,01-09-20,11-11-20,NJ2020,5,1,VPC,0,3,1299147.122,619808.7345,679338.387,39957569.3,34402771.71,4928515.22,626282.3627,30.75677006,0.912371134,,,,,,,,,,,,
vi201109.181,Viruses,01-09-20,09-11-20,NJ2020,5,1,VP,3,1,1285714.286,609616.7247,676097.561,30823880.6,26178738.51,4103313.604,541828.4815,23.97412935,0.901669759,,,,,,,,,,,,
vi201111.016,Viruses,01-09-20,11-11-20,NJ2020,5,1,VPC,3,1,1615138.593,737500.7839,877637.8089,40176332.62,34044989.6,5438344.048,692998.9756,24.87485149,0.840324763,,,,,,,,,,,,
vi201109.182,Viruses,01-09-20,09-11-20,NJ2020,5,1,VP,3,2,1238379.531,571559.7835,666819.7474,32160767.59,27490889.27,4138981.59,530896.7268,25.97004132,0.857142857,,,,,,,,,,,,
vi201111.017,Viruses,01-09-20,11-11-20,NJ2020,5,1,VPC,3,2,1347761.194,647534.2661,700226.9279,36411300.64,30939749.72,4886479.159,585071.7595,27.01613669,0.924749164,,,,,,,,,,,,
vi201109.183,Viruses,01-09-20,09-11-20,NJ2020,5,1,VP,3,3,1298507.463,598442.5698,700064.8929,30918550.11,26300820.08,4104788.602,512941.4241,23.81083744,0.85483871,,,,,,,,,,,,
vi201111.018,Viruses,01-09-20,11-11-20,NJ2020,5,1,VPC,3,3,1240298.507,610268.7127,630029.7948,37565245.2,32338044.41,4592801.273,634399.5194,30.28726147,0.968634686,,,,,,,,,,,,
vi201109.202,Viruses,01-09-20,09-11-20,NJ2020,5,1,VP,6,1,1100213.22,479514.8946,620698.3251,37036886.99,32670252.28,3878227.885,488406.8309,33.66337209,0.772540984,,,,,,,,,,,,
vi201111.033,Viruses,01-09-20,11-11-20,NJ2020,5,1,VPC,6,1,1415565.032,666223.4703,749341.5616,34238379.53,29250814.82,4417449.445,570115.2703,24.18707637,0.889078498,,,,,,,,,,,,
vi201109.203,Viruses,01-09-20,09-11-20,NJ2020,5,1,VP,6,2,1184648.188,556059.3534,628588.8343,31200639.66,27093006.53,3620457.521,487175.6122,26.337473,0.884615385,,,,,,,,,,,,
vi201111.034,Viruses,01-09-20,11-11-20,NJ2020,5,1,VPC,6,2,1485927.505,757030.192,728897.3133,33309594.88,28202266.24,4490926.913,616401.7332,22.41670254,1.038596491,,,,,,,,,,,,
vi201109.204,Viruses,01-09-20,09-11-20,NJ2020,5,1,VP,6,3,1334328.358,626421.3285,707907.0297,27590405.12,23663454.96,3468429.109,458521.0521,20.67737296,0.884892086,,,,,,,,,,,,
vi201111.035,Viruses,01-09-20,11-11-20,NJ2020,5,1,VPC,6,3,1446268.657,693083.6534,753185.0034,34338166.31,29154025.75,4619032.744,565107.8208,23.74259177,0.920203735,,,,,,,,,,,,
vi201109.205,Viruses,01-09-20,09-11-20,NJ2020,5,1,VP,9,1,1306183.369,650545.518,655637.8508,29996801.71,25588615.45,3916291.046,491895.2133,22.96523017,0.99223301,,,,,,,,,,,,
vi201111.036,Viruses,01-09-20,11-11-20,NJ2020,5,1,VPC,9,1,1484648.188,716109.3756,768538.812,34356076.76,29057359.57,4688294.902,610422.2892,23.14088755,0.931780366,,,,,,,,,,,,
vi201109.206,Viruses,01-09-20,09-11-20,NJ2020,5,1,VP,9,2,1295948.827,674708.1321,621240.6952,28964392.32,24591507.12,3838533.219,534351.9876,22.34995064,1.086065574,,,,,,,,,,,,
vi201111.037,Viruses,01-09-20,11-11-20,NJ2020,5,1,VPC,9,2,1413006.397,659829.2313,753177.1652,34523667.38,29380612.66,4526290.94,616763.7821,24.43277501,0.876061121,,,,,,,,,,,,
vi201109.207,Viruses,01-09-20,09-11-20,NJ2020,5,1,VP,9,3,1266524.52,679722.7074,586801.8129,30558422.17,25934955.43,4083600.871,539865.8779,24.12777778,1.15835141,,,,,,,,,,,,
vi201111.039,Viruses,01-09-20,11-11-20,NJ2020,5,1,VPC,9,3,1402771.855,673893.1336,728878.7214,34957356.08,29832157.22,4507052.788,618146.0667,24.92020064,0.924561404,,,,,,,,,,,,
vi201109.219,Viruses,01-09-20,09-11-20,NJ2020,5,1,VP,12,1,1363113.006,649826.6846,713286.3218,32515138.59,27902581.38,4141759.999,470797.2112,23.85358986,0.911032028,,,,,,,,,,,,
vi201111.052,Viruses,01-09-20,11-11-20,NJ2020,5,1,VPC,12,1,1408528.785,703625.8933,704902.8913,33816204.69,28892520.8,4354983.234,568700.6544,24.00817439,0.998188406,,,,,,,,,,,,
vi201109.220,Viruses,01-09-20,09-11-20,NJ2020,5,1,VP,12,2,1176332.623,542532.7182,633799.9044,34065671.64,29912853.79,3691672.874,461144.9778,28.95921697,0.856,,,,,,,,,,,,
vi201111.053,Viruses,01-09-20,11-11-20,NJ2020,5,1,VPC,12,2,1457142.857,693451.8593,763690.9979,33688272.92,28589158.91,4529175.863,569938.1457,23.11940299,0.908026756,,,,,,,,,,,,
vi201109.221,Viruses,01-09-20,09-11-20,NJ2020,5,1,VP,12,3,1378464.819,674000.7539,704464.0648,31551812.37,26904237.68,4150695.749,496878.9349,22.88909513,0.956756757,,,,,,,,,,,,
vi201111.054,Viruses,01-09-20,11-11-20,NJ2020,5,1,VPC,12,3,1440511.727,715147.6659,725364.0612,33841791.04,28849817.24,4361342.18,630631.6279,23.4928952,0.985915493,,,,,,,,,,,,
vi201109.164,Viruses,01-09-20,09-11-20,NJ2020,5,1,0.22,24,1,8955.223881,0,8955.223881,22643283.58,19681266.17,2745437.104,216580.3096,2528.5,0,,,,,,,,,,,,
vi201109.222,Viruses,01-09-20,09-11-20,NJ2020,5,1,VP,24,1,1125159.915,560045.8134,565114.1013,33409381.66,29317052.71,3653954.856,438374.0958,29.69300739,0.99103139,,,,,,,,,,,,
vi201111.055,Viruses,01-09-20,11-11-20,NJ2020,5,1,VPC,24,1,1394456.29,618055.7183,776400.5717,32014925.37,27239839.27,4195407.577,579678.5304,22.9587156,0.796052632,,,,,,,,,,,,
vi201109.165,Viruses,01-09-20,09-11-20,NJ2020,5,1,0.22,24,2,52452.02559,1248.857752,51203.16783,18527718.55,16066908.59,2277650.942,183159.02,353.2317073,0.024390244,,,,,,,,,,,,
vi201109.223,Viruses,01-09-20,09-11-20,NJ2020,5,1,VP,24,2,1452665.245,746649.619,706015.6262,30181663.11,25731199.81,3910139.45,540323.8547,20.77675033,1.057553957,,,,,,,,,,,,
vi201111.056,Viruses,01-09-20,11-11-20,NJ2020,5,1,VPC,24,2,1413646.055,655104.2696,758541.7858,31256289.98,26500364.61,4220615.478,535309.8902,22.11040724,0.863636364,,,,,,,,,,,,
vi201109.166,Viruses,01-09-20,09-11-20,NJ2020,5,1,0.22,24,3,10234.54158,0,10234.54158,21372921.11,18517196.77,2669427.084,186297.2531,2088.3125,0,,,,,,,,,,,,
vi201109.224,Viruses,01-09-20,09-11-20,NJ2020,5,1,VP,24,3,1425799.574,766859.2542,658940.3194,31074626.87,26644175.08,3939991.24,490460.5459,21.79452669,1.163776493,,,,,,,,,,,,
vi201111.057,Viruses,01-09-20,11-11-20,NJ2020,5,1,VPC,24,3,1412366.738,656380.2018,755986.5359,32469083.16,27666614.6,4237843.765,564624.7878,22.98913043,0.868243243,,,,,,,,,,,,
vi201112.012,Viruses,03-09-20,12-11-20,NJ2020,6,1,0.22,0,1,-255.8635394,-85.28784648,-170.575693,10804861.41,8635809.42,1997482.918,171569.0696,-42229,0.5,,,,,,,,,,,,
vi201112.039,Viruses,03-09-20,12-11-20,NJ2020,6,1,VP,0,1,1208315.565,646219.4003,562096.1647,27976759.06,23746218.57,3627426.247,603114.2436,23.15352038,1.149659864,,,,,,,,,,,,
vi201112.098,Viruses,03-09-20,12-11-20,NJ2020,6,1,VPC,0,1,1270362.473,607786.2586,662576.2148,27339658.85,23003920.01,3718133.593,617605.2438,21.52114804,0.917307692,,,,,,,,,,,,
vi201112.016,Viruses,03-09-20,12-11-20,NJ2020,6,1,0.22,0,2,-255.8635394,-85.28784648,-170.575693,11716759.06,9371508.261,2134363.13,210887.6706,-45793,0.5,,,,,,,,,,,,
vi201112.040,Viruses,03-09-20,12-11-20,NJ2020,6,1,VP,0,2,1276119.403,608100.8544,668018.5486,26804904.05,22568808.65,3662301.563,573793.8417,21.00501253,0.910305344,,,,,,,,,,,,
vi201112.099,Viruses,03-09-20,12-11-20,NJ2020,6,1,VPC,0,2,1281876.333,628195.8568,653680.4758,27298720.68,23024388.11,3686752.486,587580.0843,21.29590818,0.961013645,,,,,,,,,,,,
vi201112.018,Viruses,03-09-20,12-11-20,NJ2020,6,1,0.22,0,3,2046.908316,255.8635394,1791.044776,11567590.62,9206806.856,2152435.227,208348.5352,5651.25,0.142857143,,,,,,,,,,,,
vi201112.041,Viruses,03-09-20,12-11-20,NJ2020,6,1,VP,0,3,1291471.215,643823.2614,647647.954,30669722.81,26176251.8,3861557.103,631913.9136,23.747895,0.994094488,,,,,,,,,,,,
vi201112.100,Viruses,03-09-20,12-11-20,NJ2020,6,1,VPC,0,3,1275479.744,656215.8524,619263.8918,27539232.41,23272802.11,3666229.088,600201.2149,21.59127382,1.059670782,,,,,,,,,,,,
vi201112.042,Viruses,03-09-20,12-11-20,NJ2020,6,1,VP,3,1,1232622.601,636068.9535,596553.6478,28593390.19,24445618.29,3588072.558,559699.3405,23.19719772,1.066239316,,,,,,,,,,,,
vi201112.101,Viruses,03-09-20,12-11-20,NJ2020,6,1,VPC,3,1,1168017.058,686544.3773,481472.6802,26577185.5,22559122.86,3404608.428,613454.2159,22.75410734,1.425925926,,,,,,,,,,,,
vi201112.043,Viruses,03-09-20,12-11-20,NJ2020,6,1,VP,3,2,1276119.403,647621.0357,628498.3673,27528997.87,23438654.36,3527406.392,562937.1135,21.57243108,1.030425963,,,,,,,,,,,,
vi201112.102,Viruses,03-09-20,12-11-20,NJ2020,6,1,VPC,3,2,1253731.343,709683.2909,544048.0524,26592537.31,22405749.47,3603311.295,583476.5517,21.21071429,1.304449649,,,,,,,,,,,,
vi201112.044,Viruses,03-09-20,12-11-20,NJ2020,6,1,VP,3,3,1236460.554,644999.0108,591461.5435,27792537.31,23527710.6,3668050.61,596776.1033,22.47749612,1.090517241,,,,,,,,,,,,
vi201112.103,Viruses,03-09-20,12-11-20,NJ2020,6,1,VPC,3,3,1205117.271,671349.6847,533767.5861,27615991.47,23554374.9,3446371.694,615244.8743,22.9156051,1.257756563,,,,,,,,,,,,
vi201112.064,Viruses,03-09-20,12-11-20,NJ2020,6,1,VP,6,1,1198720.682,633046.5533,565674.129,23096162.05,18631434.83,3760621.451,704105.7696,19.26734258,1.119101124,,,,,,,,,,,,
vi201112.116,Viruses,03-09-20,12-11-20,NJ2020,6,1,VPC,6,1,1095735.608,613408.3193,482327.2884,23181236.67,19359552.58,3350500.528,471183.5621,21.1558669,1.27176781,,,,,,,,,,,,
vi201112.065,Viruses,03-09-20,12-11-20,NJ2020,6,1,VP,6,2,1205117.271,613999.6221,591117.6486,25240298.51,21447146.25,3264455.167,528697.0935,20.94426752,1.038709677,,,,,,,,,,,,
vi201112.117,Viruses,03-09-20,12-11-20,NJ2020,6,1,VPC,6,2,1080383.795,595547.2511,484836.5442,22513432.84,18816678.47,3189941.267,506813.0985,20.8383659,1.228346457,,,,,,,,,,,,
vi201112.066,Viruses,03-09-20,12-11-20,NJ2020,6,1,VP,6,3,1011940.299,507874.6793,504065.6192,29598933.9,26174574.18,2966276.517,458083.2089,29.24968394,1.007556675,,,,,,,,,,,,
vi201112.118,Viruses,03-09-20,12-11-20,NJ2020,6,1,VPC,6,3,1054797.441,586564.0778,468233.3636,21983795.31,18303278.48,3255985.042,424531.7897,20.84172226,1.252717391,,,,,,,,,,,,
vi201112.067,Viruses,03-09-20,12-11-20,NJ2020,6,1,VP,9,1,3837.953092,1705.75693,2132.196162,10589552.24,8872815.954,1568554.837,148181.4477,2759.166667,0.8,,,,,,,,,,,,
vi201112.119,Viruses,03-09-20,12-11-20,NJ2020,6,1,VPC,9,1,14712.15352,4597.547974,10114.60554,10223027.72,8308535.619,1709239.341,205252.758,694.8695652,0.454545455,,,,,,,,,,,,
vi201112.068,Viruses,03-09-20,12-11-20,NJ2020,6,1,VP,9,2,1214072.495,611485.7277,602586.767,25057356.08,21131508.31,3347380.52,578467.2481,20.63909378,1.014767932,,,,,,,,,,,,
vi201112.120,Viruses,03-09-20,12-11-20,NJ2020,6,1,VPC,9,2,1111087.42,628725.2984,482362.1216,25803837.95,21376439.97,3929923.523,497474.4561,23.22394934,1.303430079,,,,,,,,,,,,
vi201112.069,Viruses,03-09-20,12-11-20,NJ2020,6,1,VP,9,3,1281876.333,698164.7883,583711.5443,25360554.37,21513322.36,3289788.672,557443.342,19.78393214,1.196078431,,,,,,,,,,,,
vi201112.121,Viruses,03-09-20,12-11-20,NJ2020,6,1,VPC,9,3,1010021.322,605503.9663,404517.3556,22728358.21,19049226.97,3170936.483,508194.7577,22.50284991,1.496855346,,,,,,,,,,,,
vi201112.081,Viruses,03-09-20,12-11-20,NJ2020,6,1,VP,12,1,1189765.458,650235.4537,539530.0047,24434328.36,20774720.19,3111725.351,547882.8149,20.53709677,1.205188679,,,,,,,,,,,,
vi201112.133,Viruses,03-09-20,12-11-20,NJ2020,6,1,VPC,12,1,917910.4478,533225.9863,384684.4615,22929211.09,19439361.01,3105269.59,384580.4823,24.97979094,1.386138614,,,,,,,,,,,,
vi201112.082,Viruses,03-09-20,12-11-20,NJ2020,6,1,VP,12,2,1233262.26,680903.3118,552358.9483,24374200.43,20678725,3145138.449,550336.9733,19.76400415,1.232718894,,,,,,,,,,,,
vi201112.134,Viruses,03-09-20,12-11-20,NJ2020,6,1,VPC,12,2,864179.1045,526628.9697,337550.1348,22656716.42,19135656.15,3065686.395,455373.872,26.21761658,1.560150376,,,,,,,,,,,,
vi201112.083,Viruses,03-09-20,12-11-20,NJ2020,6,1,VP,12,3,1270362.473,698826.6512,571535.8222,25931130.06,22076317.24,3338509.844,516302.9792,20.41238671,1.222717149,,,,,,,,,,,,
vi201112.135,Viruses,03-09-20,12-11-20,NJ2020,6,1,VPC,12,3,943496.8017,551113.8788,392382.9229,22107889.13,18609120.78,3057381.439,441386.9096,23.43186441,1.404530744,,,,,,,,,,,,
vi201112.019,Viruses,03-09-20,12-11-20,NJ2020,6,1,0.22,24,1,-511.7270789,-170.575693,-341.1513859,9192153.518,7368124.352,1684979.843,139049.3239,-17963,0.5,,,,,,,,,,,,
vi201112.084,Viruses,03-09-20,12-11-20,NJ2020,6,1,VP,24,1,1572281.45,1024403.797,547877.6527,25551172.71,21859865.99,3132811.135,558495.5783,16.25101709,1.869767442,,,,,,,,,,,,
vi201112.136,Viruses,03-09-20,12-11-20,NJ2020,6,1,VPC,24,1,1021535.181,590813.2578,430721.9234,20998720.68,17580872.86,3003187.024,414660.7963,20.55604258,1.371681416,,,,,,,,,,,,
vi201112.020,Viruses,03-09-20,12-11-20,NJ2020,6,1,0.22,24,2,511.7270789,102.3454158,409.3816631,9957185.501,7944843.538,1828677.807,183664.1565,19458,0.25,,,,,,,,,,,,
vi201112.085,Viruses,03-09-20,12-11-20,NJ2020,6,1,VP,24,2,1452025.586,999859.7239,452165.8624,25309381.66,20785175.46,3852430.133,671776.0731,17.43039648,2.211267606,,,,,,,,,,,,
vi201112.137,Viruses,03-09-20,12-11-20,NJ2020,6,1,VPC,24,2,958848.6141,542289.2162,416559.3979,18483582.09,14838305.13,3103678.823,541598.1372,19.27685123,1.301829268,,,,,,,,,,,,
vi201112.021,Viruses,03-09-20,12-11-20,NJ2020,6,1,0.22,24,3,511.7270789,0,511.7270789,9529893.39,7608006.7,1747395.684,174491.0057,18623,0,,,,,,,,,,,,
vi201112.086,Viruses,03-09-20,12-11-20,NJ2020,6,1,VP,24,3,1535181.237,983535.1989,551646.0377,24923027.72,21287666.81,3123320.694,512040.2096,16.23458333,1.782909931,,,,,,,,,,,,
vi201112.138,Viruses,03-09-20,12-11-20,NJ2020,6,1,VPC,24,3,1067590.618,610051.7819,457538.8364,19224307.04,15091458.65,3510073.449,622774.9365,18.00718993,1.333333333,,,,,,,,,,,,
vi201116.116,Viruses,05-09-20,16-11-20,NJ2020,7,1,0.22,0,1,8955.223881,688.8633754,8266.360505,71295095.95,58523383.56,11407718.67,1363993.717,7961.285714,0.083333333,,,,,,,,,,,,
