Sample_Name,Staining_Protocol,Expt_Date,Date_Measurement,Location,Expt_No,Depth,Sample_Type,Timepoint,Replicate,c_Bacteria,c_HNA,c_LNA,c_Viruses,c_V1,c_V2,c_V3,VBR,HNAperLNA,,,,,,,,,,,,
vi201102.096,Viruses,04-08-20,02-11-20,NJ2020,1,1,VPC,17,3,1348656.716,799393.0424,549263.6741,8327078.891,6520297.587,1163892.85,642888.4543,6.174350218,1.455390335,,,,,,,,,,,,
vi201102.061,Viruses,04-08-20,02-11-20,NJ2020,1,1,VP,20,1,2923240.938,2218248.064,704992.874,9175522.388,7263242.902,1263618.654,648660.8321,3.138818381,3.146482959,,,,,,,,,,,,
vi201102.108,Viruses,04-08-20,02-11-20,NJ2020,1,1,VPC,20,1,1285202.559,734328.4599,550874.0987,8408955.224,6655183.643,1170689.026,583082.5548,6.542902648,1.333024119,,,,,,,,,,,,
vi201102.062,Viruses,04-08-20,02-11-20,NJ2020,1,1,VP,20,2,2944221.748,2302106.361,642115.3874,10484008.53,8455685.447,1289500.627,738822.4547,3.560875989,3.585191083,,,,,,,,,,,,
vi201102.109,Viruses,04-08-20,02-11-20,NJ2020,1,1,VPC,20,2,1384477.612,766087.8333,618389.7787,8812707.889,6979032.797,1193272.241,640402.8509,6.365366845,1.238842975,,,,,,,,,,,,
vi201102.063,Viruses,04-08-20,02-11-20,NJ2020,1,1,VP,20,3,2872579.957,2236103.352,636476.6056,9372025.586,7410495.686,1266291.735,695238.1649,3.262581277,3.513253012,,,,,,,,,,,,
vi201102.110,Viruses,04-08-20,02-11-20,NJ2020,1,1,VPC,20,3,1355309.168,744602.3599,610706.8086,8975948.827,7134160.819,1208736.283,633051.7253,6.622805362,1.219246862,,,,,,,,,,,,
vi201102.024,Viruses,04-08-20,02-11-20,NJ2020,1,1,0.22,24,1,12793.17697,4975.124378,7818.052594,135950533,113303755.3,19023692.53,3623085.199,10626.8,0.636363636,,,,,,,,,,,,
vi201102.064,Viruses,04-08-20,02-11-20,NJ2020,1,1,VP,24,1,3533731.343,2883332.52,650398.8234,12333390.19,10086238.2,1538955.644,708196.3514,3.49018898,4.433176101,,,,,,,,,,,,
vi201102.111,Viruses,04-08-20,02-11-20,NJ2020,1,1,VPC,24,1,1267803.838,688323.9701,579479.8679,8460639.659,6691094.109,1236168.326,533377.2239,6.67346115,1.187830688,,,,,,,,,,,,
vi201102.025,Viruses,04-08-20,02-11-20,NJ2020,1,1,0.22,24,2,28144.98934,6701.187938,21443.8014,131549680.2,109809228.1,18304862.25,3435589.782,4674,0.3125,,,,,,,,,,,,
vi201102.099,Viruses,04-08-20,02-11-20,NJ2020,1,1,VP,24,2,3780383.795,3033300.65,747083.1453,9830788.913,7764923.93,1391286.59,674578.3933,2.600473773,4.060191518,,,,,,,,,,,,
vi201102.112,Viruses,04-08-20,02-11-20,NJ2020,1,1,VPC,24,2,1262686.567,701095.0911,561591.476,8529211.087,6769470.531,1157909.286,601831.2704,6.754812563,1.248407643,,,,,,,,,,,,
vi201102.026,Viruses,04-08-20,02-11-20,NJ2020,1,1,0.22,24,3,-7675.906183,-2193.116052,-5482.790131,138703624.7,116994360.5,18299092.32,3410171.911,-18070,0.4,,,,,,,,,,,,
vi201102.100,Viruses,04-08-20,02-11-20,NJ2020,1,1,VP,24,3,3451343.284,2747279.472,704063.8112,8707036.247,6748015.624,1292173.205,666847.4184,2.522796353,3.90203193,,,,,,,,,,,,
vi201102.113,Viruses,04-08-20,02-11-20,NJ2020,1,1,VPC,24,3,1287761.194,703158.4932,584602.7008,8488272.921,6584394.127,1231714.562,672164.2321,6.591496126,1.202797203,,,,,,,,,,,,
vi201103.011,Viruses,06-08-20,03-11-20,NJ2020,2,1,0.22,0,1,2302.771855,657.9348157,1644.837039,12126652.45,10474609.86,1558655.241,93387.35409,5266.111111,0.4,,,,,,,,,,,,
vi201103.027,Viruses,06-08-20,03-11-20,NJ2020,2,1,VP,0,1,902558.6354,485109.309,417449.3264,33939019.19,28626526.85,4623201.223,689291.1213,37.60311836,1.162079511,,,,,,,,,,,,
vi201104.009,Viruses,06-08-20,03-11-20,NJ2020,2,1,VPC,0,1,825159.9147,467213.833,357946.0817,36735607.68,31173468.47,4822707.812,739431.3914,44.51937984,1.305263158,,,,,,,,,,,,
vi201103.013,Viruses,06-08-20,03-11-20,NJ2020,2,1,0.22,0,2,2302.771855,328.9674079,1973.804447,12777569.3,10998407.65,1675072.565,104089.0803,5548.777778,0.166666667,,,,,,,,,,,,
vi201103.028,Viruses,06-08-20,03-11-20,NJ2020,2,1,VP,0,2,857782.516,513137.7551,344644.7609,34344562.9,28800530.59,4845791.468,698240.8456,40.03877703,1.488888889,,,,,,,,,,,,
vi201104.010,Viruses,06-08-20,03-11-20,NJ2020,2,1,VPC,0,2,770149.2537,451553.3084,318595.9454,34180810.23,28994947.52,4534163.387,651699.3248,44.3820598,1.417322835,,,,,,,,,,,,
vi201103.014,Viruses,06-08-20,03-11-20,NJ2020,2,1,0.22,0,3,4349.680171,0,4349.680171,11726993.6,9998794.39,1618093.744,110105.4695,2696.058824,0,,,,,,,,,,,,
vi201103.029,Viruses,06-08-20,03-11-20,NJ2020,2,1,VP,0,3,810447.7612,490097.5438,320350.2174,34106609.81,28548909.37,4803640.582,754059.8588,42.08366219,1.529880478,,,,,,,,,,,,
vi201104.011,Viruses,06-08-20,03-11-20,NJ2020,2,1,VPC,0,3,841791.0448,488741.3678,353049.677,34688699.36,29698408.51,4346016.308,644274.5383,41.20820669,1.384341637,,,,,,,,,,,,
vi201103.030,Viruses,06-08-20,03-11-20,NJ2020,2,1,VP,3,1,905117.2708,523410.5515,381706.7193,31519829.42,26589821.09,4314708.789,615299.548,34.82402827,1.371237458,,,,,,,,,,,,
vi201104.012,Viruses,06-08-20,03-11-20,NJ2020,2,1,VPC,3,1,830277.1855,472290.8045,357986.381,34512153.52,29321777.77,4527238.111,663137.6347,41.56702619,1.319298246,,,,,,,,,,,,
vi201103.031,Viruses,06-08-20,03-11-20,NJ2020,2,1,VP,3,2,891044.7761,534882.1794,356162.5968,31380383.8,26307204.83,4426186.896,646992.0656,35.21751615,1.501792115,,,,,,,,,,,,
vi201104.013,Viruses,06-08-20,03-11-20,NJ2020,2,1,VPC,3,2,828997.8678,476045.7453,352952.1225,34224307.04,29019439.13,4472480.345,732387.5649,41.28395062,1.348754448,,,,,,,,,,,,
vi201103.032,Viruses,06-08-20,03-11-20,NJ2020,2,1,VP,3,3,828358.209,510544.3507,317813.8583,31706609.81,26584782.6,4444330.125,677497.0845,38.27644788,1.606425703,,,,,,,,,,,,
vi201104.014,Viruses,06-08-20,03-11-20,NJ2020,2,1,VPC,3,3,811087.42,450743.6282,360343.7919,34189765.46,29036656.98,4481237.924,671870.5523,42.15299685,1.25087108,,,,,,,,,,,,
vi201103.042,Viruses,06-08-20,03-11-20,NJ2020,2,1,VP,6,1,884648.1876,556632.5675,328015.6201,30381876.33,26179156.39,3625017.882,577702.0565,34.34345625,1.696969697,,,,,,,,,,,,
vi201104.032,Viruses,06-08-20,03-11-20,NJ2020,2,1,VPC,6,1,807249.467,409327.4377,397922.0292,52775692.96,47907016.42,4228394.86,640281.6804,65.37717908,1.02866242,,,,,,,,,,,,
vi201103.043,Viruses,06-08-20,03-11-20,NJ2020,2,1,VP,6,2,928144.9893,610883.6324,317261.3569,28878678.04,24715861.94,3550820.935,611995.1665,31.11440386,1.925490196,,,,,,,,,,,,
vi201104.033,Viruses,06-08-20,03-11-20,NJ2020,2,1,VPC,6,2,825159.9147,498138.013,327021.9017,34220469.08,29199885.53,4295065.697,725517.8542,41.47131783,1.523255814,,,,,,,,,,,,
vi201103.044,Viruses,06-08-20,03-11-20,NJ2020,2,1,VP,6,3,943496.8017,604933.3056,338563.4961,28714925.37,24730002.05,3425460.568,559462.7541,30.43457627,1.786764706,,,,,,,,,,,,
vi201104.034,Viruses,06-08-20,03-11-20,NJ2020,2,1,VPC,6,3,789339.0192,416841.954,372497.0652,36909594.88,32154278.02,4074542.418,680774.4462,46.76012966,1.119047619,,,,,,,,,,,,
vi201103.045,Viruses,06-08-20,03-11-20,NJ2020,2,1,VP,17.5,1,2115351.812,1791857.15,323494.6619,68129424.31,63727850.44,3821619.66,579954.2095,32.20713638,5.5390625,,,,,,,,,,,,
vi201104.035,Viruses,06-08-20,03-11-20,NJ2020,2,1,VPC,17.5,1,772707.8891,466158.202,306549.6872,33117697.23,28211651.98,4189686.972,716358.2781,42.85927152,1.520661157,,,,,,,,,,,,
vi201103.046,Viruses,06-08-20,03-11-20,NJ2020,2,1,VP,17.5,2,2348187.633,2048338.243,299849.3907,49089339.02,44881681.39,3592148.96,615508.6701,20.90520294,6.831223629,,,,,,,,,,,,
vi201104.036,Viruses,06-08-20,03-11-20,NJ2020,2,1,VPC,17.5,2,809808.1023,405537.7038,404270.3985,47185074.63,42129033.35,4396172.166,659869.115,58.26698262,1.003134796,,,,,,,,,,,,
vi201103.047,Viruses,06-08-20,03-11-20,NJ2020,2,1,VP,17.5,3,1946481.876,1618281.301,328200.5758,56943070.36,52907933.68,3426011.757,609124.9232,29.25435426,4.930769231,,,,,,,,,,,,
vi201104.037,Viruses,06-08-20,03-11-20,NJ2020,2,1,VPC,17.5,3,763752.6652,445839.0351,317913.6301,31136034.12,26780013.48,3746152.547,609868.0903,40.76716918,1.402390438,,,,,,,,,,,,
vi201103.056,Viruses,06-08-20,03-11-20,NJ2020,2,1,VP,20.5,1,3259701.493,2851281.572,408419.9208,101012366.7,96187842.35,4203974.073,620550.3168,30.98822606,6.98125,,,,,,,,,,,,
vi201104.052,Viruses,06-08-20,03-11-20,NJ2020,2,1,VPC,20.5,1,679957.3561,398207.0704,281750.2857,52933688.7,46698290.35,5652176.868,583221.4803,77.84854186,1.413333333,,,,,,,,,,,,
vi201103.057,Viruses,06-08-20,03-11-20,NJ2020,2,1,VP,20.5,2,3223880.597,2853759.705,370120.892,56796588.49,52186944.25,3797071.031,812573.2007,17.61746032,7.710344828,,,,,,,,,,,,
vi201104.053,Viruses,06-08-20,03-11-20,NJ2020,2,1,VPC,20.5,2,550746.2687,360103.3295,190642.9392,45562260.13,39596678,5369277.126,596305.005,82.728223,1.888888889,,,,,,,,,,,,
vi201103.058,Viruses,06-08-20,03-11-20,NJ2020,2,1,VP,20.5,3,2814498.934,2470022.636,344476.2974,81418336.89,77070607.86,3783946.412,563782.6197,28.92818182,7.17037037,,,,,,,,,,,,
vi201104.054,Viruses,06-08-20,03-11-20,NJ2020,2,1,VPC,20.5,3,699147.1215,436027.2371,263119.8844,37720042.64,32167775.67,4938296.158,613970.8194,53.95150961,1.657142857,,,,,,,,,,,,
vi201103.015,Viruses,06-08-20,03-11-20,NJ2020,2,1,0.22,24,1,1791.044776,895.5223881,895.5223881,9907803.838,8238011.873,1581134.928,88657.03695,5531.857143,1,,,,,,,,,,,,
vi201103.059,Viruses,06-08-20,03-11-20,NJ2020,2,1,VP,24,1,3878891.258,3500961.103,377930.1555,135175266.5,130205849.8,4363203.911,606212.8026,34.84894459,9.263513514,,,,,,,,,,,,
vi201104.060,Viruses,06-08-20,03-11-20,NJ2020,2,1,VPC,24,1,670362.4733,414405.8926,255956.5807,73359914.71,67305818.82,5366015.888,688080.0081,109.4332061,1.619047619,,,,,,,,,,,,
vi201103.016,Viruses,06-08-20,03-11-20,NJ2020,2,1,0.22,24,2,767.5906183,383.7953092,383.7953092,9745074.627,8055300.265,1580364.511,109409.8508,12695.66667,1,,,,,,,,,,,,
vi201103.060,Viruses,06-08-20,03-11-20,NJ2020,2,1,VP,24,2,3418336.887,3086459.519,331877.3677,75244349.68,70447512.87,3982135.955,814700.855,22.01197605,9.3,,,,,,,,,,,,
vi201104.047,Viruses,06-08-20,03-11-20,NJ2020,2,1,VPC,24,2,610234.5416,402754.7974,207479.7441,67631130.06,61550736.74,5449647.129,630746.1955,110.8280922,1.941176471,,,,,,,,,,,,
vi201103.017,Viruses,06-08-20,03-11-20,NJ2020,2,1,0.22,24,3,255.8635394,0,255.8635394,9171428.571,7500950.909,1562655.922,107821.74,35845,0,,,,,,,,,,,,
vi201103.061,Viruses,06-08-20,03-11-20,NJ2020,2,1,VP,24,3,3474626.866,3135078.465,339548.4005,111264818.8,106580118.2,4005279.01,679421.5348,32.02209131,9.233082707,,,,,,,,,,,,
vi201104.048,Viruses,06-08-20,03-11-20,NJ2020,2,1,VPC,24,3,658848.6141,440865.2436,217983.3705,56081449.89,50083864.37,5285623.821,711961.7046,85.12038835,2.02247191,,,,,,,,,,,,
vi201105.008,Viruses,18-08-20,05-11-20,NJ2020,3,1,0.22,0,1,-48614.07249,0,-48614.07249,194497228.1,166095185.6,23265340.47,5136702.086,-4000.842105,0,,,,,,,,,,,,
vi201105.029,Viruses,18-08-20,05-11-20,NJ2020,3,1,VP,0,1,2357270.789,1116333.177,1240937.612,14406652.45,12525043.48,1306069.873,575539.1013,6.111581461,0.899588477,,,,,,,,,,,,
vi201105.086,Viruses,18-08-20,05-11-20,NJ2020,3,1,VPC,0,1,2508486.141,1183469.933,1325016.208,13687931.77,11882079.38,1280123.178,525729.2148,5.456650347,0.89317393,,,,,,,,,,,,
vi201105.009,Viruses,18-08-20,05-11-20,NJ2020,3,1,0.22,0,2,-23027.71855,0,-23027.71855,191391044.8,161779849.8,24235671.16,5375523.785,-8311.333333,0,,,,,,,,,,,,
vi201105.030,Viruses,18-08-20,05-11-20,NJ2020,3,1,VP,0,2,2572196.162,1189564.111,1382632.051,16966823.03,14859312.82,1463014.765,644495.4393,6.596239928,0.860362024,,,,,,,,,,,,
vi201105.087,Viruses,18-08-20,05-11-20,NJ2020,3,1,VPC,0,2,2445031.983,1115466.002,1329565.981,12526311.3,10638846.36,1263789.54,623675.4056,5.12316869,0.838970023,,,,,,,,,,,,
vi201105.010,Viruses,18-08-20,05-11-20,NJ2020,3,1,0.22,0,3,-12793.17697,-1163.016088,-11630.16088,191350106.6,162212356.9,23578975.63,5558774.047,-14957.2,0.1,,,,,,,,,,,,
vi201105.031,Viruses,18-08-20,05-11-20,NJ2020,3,1,VP,0,3,2681194.03,1287729.12,1393464.91,18305501.07,13650015.45,3643379.496,1012106.116,6.827369024,0.924120235,,,,,,,,,,,,
vi201105.088,Viruses,18-08-20,05-11-20,NJ2020,3,1,VPC,0,3,2524349.68,1146688.397,1377661.283,13787206.82,11683421.88,1355250.971,748533.9742,5.4616866,0.832344214,,,,,,,,,,,,
vi201105.032,Viruses,18-08-20,05-11-20,NJ2020,3,1,VP,3,1,2688869.936,1319405.594,1369464.342,16668486.14,14366175.52,1524926.742,777383.8815,6.199067466,0.963446475,,,,,,,,,,,,
vi201105.089,Viruses,18-08-20,05-11-20,NJ2020,3,1,VPC,3,1,2531002.132,1152313.71,1378688.422,14423283.58,12412232.05,1264218.077,746833.4548,5.69864537,0.835804299,,,,,,,,,,,,
vi201105.033,Viruses,18-08-20,05-11-20,NJ2020,3,1,VP,3,2,2603411.514,1280508.665,1322902.849,18782942.43,16503444.38,1491473.4,788024.6555,7.214742015,0.967953668,,,,,,,,,,,,
vi201105.090,Viruses,18-08-20,05-11-20,NJ2020,3,1,VPC,3,2,2528955.224,1195747.671,1333207.553,13989850.75,11928787.97,1289288.18,771774.5984,5.531869688,0.896895362,,,,,,,,,,,,
vi201105.034,Viruses,18-08-20,05-11-20,NJ2020,3,1,VP,3,3,2531257.996,1186974.088,1344283.907,18882729.21,16609690.86,1524981.832,748056.5149,7.459820075,0.882978723,,,,,,,,,,,,
vi201105.091,Viruses,18-08-20,05-11-20,NJ2020,3,1,VPC,3,3,2492622.601,1159442.534,1333180.067,13138336.89,11100403.38,1215976.969,821956.5405,5.270888935,0.86968187,,,,,,,,,,,,
vi201105.052,Viruses,18-08-20,05-11-20,NJ2020,3,1,VP,6,1,2659189.765,1379614.191,1279575.574,15561876.33,13620677.55,1347942.608,593256.1776,5.852111998,1.078181093,,,,,,,,,,,,
vi201105.109,Viruses,18-08-20,05-11-20,NJ2020,3,1,VPC,6,1,2341918.977,1111696.268,1230222.708,15490234.54,13740110.5,1234404.034,515720.0042,6.614334098,0.903654485,,,,,,,,,,,,
vi201105.053,Viruses,18-08-20,05-11-20,NJ2020,3,1,VP,6,2,2581407.249,1301931.572,1279475.677,17926055.44,16027211.68,1329746.584,569097.1699,6.944295768,1.017550858,,,,,,,,,,,,
vi201105.110,Viruses,18-08-20,05-11-20,NJ2020,3,1,VPC,6,2,2463710.021,1182805.62,1280904.401,13710959.49,11914160.36,1228357.221,568441.9055,5.565167723,0.92341444,,,,,,,,,,,,
vi201105.054,Viruses,18-08-20,05-11-20,NJ2020,3,1,VP,6,3,2934498.934,1545359.825,1389139.109,13696119.4,11594523.84,1425902.88,675692.6784,4.667277008,1.112458655,,,,,,,,,,,,
vi201105.111,Viruses,18-08-20,05-11-20,NJ2020,3,1,VPC,6,3,2421748.401,1132192.923,1289555.478,13820469.08,11933940.37,1293375.535,593153.1795,5.70681458,0.877971474,,,,,,,,,,,,
