"file_name","pop","count"
vi201102.040,V2,2955
vi201102.040,V3,1563
vi201102.041,root,22350
vi201102.041,Bacteria,3146
vi201102.041,HNA_Bacteria,2354
vi201102.041,LNA_Bacteria,792
vi201102.041,Viruses,17443
vi201102.041,V1,12876
vi201102.041,V2,2695
vi201102.041,V3,1572
vi201102.043,root,20970
vi201102.043,Bacteria,14
vi201102.043,HNA_Bacteria,10
vi201102.043,LNA_Bacteria,4
vi201102.043,Viruses,20573
vi201102.043,V1,9279
vi201102.043,V2,10557
vi201102.043,V3,804
vi201102.044,root,11190
vi201102.044,Bacteria,15
vi201102.044,HNA_Bacteria,10
vi201102.044,LNA_Bacteria,5
vi201102.044,Viruses,10848
vi201102.044,V1,5240
vi201102.044,V2,5220
vi201102.044,V3,398
vi201102.045,root,5580
vi201102.045,Bacteria,8
vi201102.045,HNA_Bacteria,8
vi201102.045,LNA_Bacteria,0
vi201102.045,Viruses,5290
vi201102.045,V1,2879
vi201102.045,V2,2197
vi201102.045,V3,201
vi201102.046,root,4080
vi201102.046,Bacteria,4
vi201102.046,HNA_Bacteria,4
vi201102.046,LNA_Bacteria,0
vi201102.046,Viruses,3831
vi201102.046,V1,2231
vi201102.046,V2,1491
vi201102.046,V3,116
vi201102.047,root,9630
vi201102.047,Bacteria,13
vi201102.047,HNA_Bacteria,11
vi201102.047,LNA_Bacteria,2
vi201102.047,Viruses,9221
vi201102.047,V1,5205
vi201102.047,V2,3757
vi201102.047,V3,271
vi201102.049,root,22155
vi201102.049,Bacteria,2842
vi201102.049,HNA_Bacteria,2163
vi201102.049,LNA_Bacteria,679
vi201102.049,Viruses,17106
vi201102.049,V1,12988
vi201102.049,V2,2581
vi201102.049,V3,1231
vi201102.050,root,22215
vi201102.050,Bacteria,2967
vi201102.050,HNA_Bacteria,2262
vi201102.050,LNA_Bacteria,705
vi201102.050,Viruses,16861
vi201102.050,V1,12654
vi201102.050,V2,2630
vi201102.050,V3,1304
vi201102.051,root,19920
vi201102.051,Bacteria,2640
vi201102.051,HNA_Bacteria,2052
vi201102.051,LNA_Bacteria,588
vi201102.051,Viruses,15256
vi201102.051,V1,11446
vi201102.051,V2,2427
vi201102.051,V3,1153
vi201102.052,root,26415
vi201102.052,Bacteria,4051
vi201102.052,HNA_Bacteria,3229
vi201102.052,LNA_Bacteria,822
vi201102.052,Viruses,20293
vi201102.052,V1,15985
vi201102.052,V2,2738
vi201102.052,V3,1291
vi201102.053,root,25650
vi201102.053,Bacteria,4005
vi201102.053,HNA_Bacteria,3270
vi201102.053,LNA_Bacteria,735
vi201102.053,Viruses,19706
vi201102.053,V1,14849
vi201102.053,V2,3105
vi201102.053,V3,1501
vi201102.054,root,25650
vi201102.054,Bacteria,4075
vi201102.054,HNA_Bacteria,3363
vi201102.054,LNA_Bacteria,712
vi201102.054,Viruses,19588
vi201102.054,V1,15184
vi201102.054,V2,2836
vi201102.054,V3,1319
vi201102.055,root,1830
vi201102.055,Bacteria,14
vi201102.055,HNA_Bacteria,14
vi201102.055,LNA_Bacteria,0
vi201102.055,Viruses,1560
vi201102.055,V1,1386
vi201102.055,V2,164
vi201102.055,V3,3
vi201102.056,root,4965
vi201102.056,Bacteria,273
vi201102.056,HNA_Bacteria,236
vi201102.056,LNA_Bacteria,37
vi201102.056,Viruses,3693
vi201102.056,V1,2860
vi201102.056,V2,730
vi201102.056,V3,80
vi201102.057,root,1335
vi201102.057,Bacteria,5
vi201102.057,HNA_Bacteria,5
vi201102.057,LNA_Bacteria,0
vi201102.057,Viruses,943
vi201102.057,V1,801
vi201102.057,V2,122
vi201102.057,V3,11
vi201102.058,root,1500
vi201102.058,Bacteria,8
vi201102.058,HNA_Bacteria,6
vi201102.058,LNA_Bacteria,2
vi201102.058,Viruses,1269
vi201102.058,V1,1042
vi201102.058,V2,207
vi201102.058,V3,10
vi201102.059,root,1125
vi201102.059,Bacteria,1
vi201102.059,HNA_Bacteria,1
vi201102.059,LNA_Bacteria,0
vi201102.059,Viruses,782
vi201102.059,V1,677
vi201102.059,V2,94
vi201102.059,V3,6
vi201102.061,root,27495
vi201102.061,Bacteria,5535
vi201102.061,HNA_Bacteria,4627
vi201102.061,LNA_Bacteria,908
vi201102.061,Viruses,19155
vi201102.061,V1,14359
vi201102.061,V2,2993
vi201102.061,V3,1381
vi201102.062,root,29625
vi201102.062,Bacteria,5584
vi201102.062,HNA_Bacteria,4748
vi201102.062,LNA_Bacteria,836
vi201102.062,Viruses,21664
vi201102.062,V1,16587
vi201102.062,V2,3146
vi201102.062,V3,1546
vi201102.063,root,27420
vi201102.063,Bacteria,5443
vi201102.063,HNA_Bacteria,4632
vi201102.063,LNA_Bacteria,811
vi201102.063,Viruses,19443
vi201102.063,V1,14647
vi201102.063,V2,2992
vi201102.063,V3,1479
vi201102.064,root,34290
vi201102.064,Bacteria,6645
vi201102.064,HNA_Bacteria,5820
vi201102.064,LNA_Bacteria,825
vi201102.064,Viruses,25233
vi201102.064,V1,19649
vi201102.064,V2,3748
vi201102.064,V3,1530
vi201102.070,root,435
vi201102.070,Bacteria,21
vi201102.070,HNA_Bacteria,18
vi201102.070,LNA_Bacteria,3
vi201102.070,Viruses,275
vi201102.070,V1,256
vi201102.070,V2,9
vi201102.070,V3,2
vi201102.071,root,495
vi201102.071,Bacteria,7
vi201102.071,HNA_Bacteria,6
vi201102.071,LNA_Bacteria,1
vi201102.071,Viruses,254
vi201102.071,V1,243
vi201102.071,V2,7
vi201102.071,V3,0
vi201102.072,root,570
vi201102.072,Bacteria,6
vi201102.072,HNA_Bacteria,4
vi201102.072,LNA_Bacteria,2
vi201102.072,Viruses,305
vi201102.072,V1,298
vi201102.072,V2,4
vi201102.072,V3,0
vi201102.073,root,645
vi201102.073,Bacteria,8
vi201102.073,HNA_Bacteria,4
vi201102.073,LNA_Bacteria,4
vi201102.073,Viruses,361
vi201102.073,V1,333
vi201102.073,V2,20
vi201102.073,V3,1
vi201102.074,root,585
vi201102.074,Bacteria,1
