"file_name","pop","count"
vi201102.001,root,4320
vi201102.001,Bacteria,61
vi201102.001,HNA_Bacteria,33
vi201102.001,LNA_Bacteria,28
vi201102.001,Viruses,2802
vi201102.001,V1,2723
vi201102.001,V2,24
vi201102.001,V3,0
vi201102.002,root,95715
vi201102.002,Bacteria,150
vi201102.002,HNA_Bacteria,52
vi201102.002,LNA_Bacteria,98
vi201102.002,Viruses,2754
vi201102.002,V1,1110
vi201102.002,V2,19
vi201102.002,V3,0
vi201102.003,root,1950
vi201102.003,Bacteria,18
vi201102.003,HNA_Bacteria,10
vi201102.003,LNA_Bacteria,8
vi201102.003,Viruses,1127
vi201102.003,V1,1095
vi201102.003,V2,10
vi201102.003,V3,0
vi201102.004,root,1680
vi201102.004,Bacteria,18
vi201102.004,HNA_Bacteria,11
vi201102.004,LNA_Bacteria,7
vi201102.004,Viruses,786
vi201102.004,V1,770
vi201102.004,V2,1
vi201102.004,V3,0
vi201102.005,root,1215
vi201102.005,Bacteria,14
vi201102.005,HNA_Bacteria,3
vi201102.005,LNA_Bacteria,11
vi201102.005,Viruses,682
vi201102.005,V1,658
vi201102.005,V2,7
vi201102.005,V3,1
vi201102.006,root,1275
vi201102.006,Bacteria,17
vi201102.006,HNA_Bacteria,8
vi201102.006,LNA_Bacteria,9
vi201102.006,Viruses,693
vi201102.006,V1,672
vi201102.006,V2,12
vi201102.006,V3,0
vi201102.021,root,34710
vi201102.021,Bacteria,22
vi201102.021,HNA_Bacteria,8
vi201102.021,LNA_Bacteria,14
vi201102.021,Viruses,33567
vi201102.021,V1,27843
vi201102.021,V2,4767
vi201102.021,V3,865
vi201102.022,root,30705
vi201102.022,Bacteria,16
vi201102.022,HNA_Bacteria,2
vi201102.022,LNA_Bacteria,14
vi201102.022,Viruses,29828
vi201102.022,V1,24756
vi201102.022,V2,4243
vi201102.022,V3,718
vi201102.023,root,33105
vi201102.023,Bacteria,16
vi201102.023,HNA_Bacteria,7
vi201102.023,LNA_Bacteria,9
vi201102.023,Viruses,32488
vi201102.023,V1,26685
vi201102.023,V2,4819
vi201102.023,V3,903
vi201102.024,root,28110
vi201102.024,Bacteria,18
vi201102.024,HNA_Bacteria,7
vi201102.024,LNA_Bacteria,11
vi201102.024,Viruses,27335
