"Sample_Name","Staining_Protocol","Expt_Date","Date_Measurement","Location","Expt_No","Depth","Sample_Type","Timepoint","Replicate","c_Bacteria","c_HNA","c_LNA","c_Viruses","c_V1","c_V2","c_V3","VBR","HNAperLNA"
"vi201105.032","Viruses",2020-08-18,2020-11-05,"NJ2020",3,1,"VP",3,1,2688869.93603412,1319405.59361248,1369464.34242163,16668486.1407249,14366175.517088,1524926.74214971,777383.881487263,6.19906746598154,0.963446475195823
"vi201105.089","Viruses",2020-08-18,2020-11-05,"NJ2020",3,1,"VPC",3,1,2531002.13219616,1152313.71049916,1378688.421697,14423283.5820896,12412232.0501606,1264218.07711865,746833.454810307,5.69864536999596,0.835804299481097
"vi201105.033","Viruses",2020-08-18,2020-11-05,"NJ2020",3,1,"VP",3,2,2603411.51385928,1280508.66494903,1322902.84891025,18782942.4307036,16503444.3752518,1491473.39997903,788024.65547279,7.21474201474201,0.967953667953668
"vi201105.090","Viruses",2020-08-18,2020-11-05,"NJ2020",3,1,"VPC",3,2,2528955.2238806,1195747.67102053,1333207.55286007,13989850.7462687,11928787.9676103,1289288.18025135,771774.598406951,5.53186968838527,0.896895362207742
"vi201105.034","Viruses",2020-08-18,2020-11-05,"NJ2020",3,1,"VP",3,3,2531257.99573561,1186974.08839579,1344283.90733981,18882729.2110874,16609690.8638686,1524981.8323253,748056.514893547,7.45982007480036,0.882978723404255
"vi201105.091","Viruses",2020-08-18,2020-11-05,"NJ2020",3,1,"VPC",3,3,2492622.60127932,1159442.53429741,1333180.06698191,13138336.8869936,11100403.3769998,1215976.96949702,821956.540496753,5.27088893451037,0.869681870448448
"vi201105.052","Viruses",2020-08-18,2020-11-05,"NJ2020",3,1,"VP",6,1,2659189.76545842,1379614.19117737,1279575.57428105,15561876.3326226,13620677.5473551,1347942.60764936,593256.177618133,5.8521119984605,1.07818109293977
"vi201105.109","Viruses",2020-08-18,2020-11-05,"NJ2020",3,1,"VPC",6,1,2341918.97654584,1111696.26809855,1230222.70844729,15490234.5415778,13740110.5037333,1234404.03359909,515720.004245398,6.61433409810991,0.903654485049834
"vi201105.053","Viruses",2020-08-18,2020-11-05,"NJ2020",3,1,"VP",6,2,2581407.24946695,1301931.57243776,1279475.67702919,17926055.4371002,16027211.6828094,1329746.58438623,569097.169904557,6.94429576766776,1.01755085759872
"vi201105.110","Viruses",2020-08-18,2020-11-05,"NJ2020",3,1,"VPC",6,2,2463710.02132196,1182805.619942,1280904.40137996,13710959.4882729,11914160.3617855,1228357.22101683,568441.905470552,5.56516772250493,0.923414439569206
"vi201105.054","Viruses",2020-08-18,2020-11-05,"NJ2020",3,1,"VP",6,3,2934498.93390192,1545359.8247949,1389139.10910701,13696119.4029851,11594523.844274,1425902.88027548,675692.678435629,4.66727700758567,1.11245865490628
"vi201105.111","Viruses",2020-08-18,2020-11-05,"NJ2020",3,1,"VPC",6,3,2421748.40085288,1132192.92326793,1289555.47758495,13820469.0831557,11933940.3689241,1293375.53469701,593153.179534577,5.7068145800317,0.87797147385103
"vi201105.055","Viruses",2020-08-18,2020-11-05,"NJ2020",3,1,"VP",9,1,2953432.8358209,1583673.060798,1369759.7750229,16334584.2217484,14112418.4592125,1498775.59040642,723390.172129472,5.53071125357359,1.15616846813269
"vi201105.112","Viruses",2020-08-18,2020-11-05,"NJ2020",3,1,"VPC",9,1,2427889.12579957,1173581.92802223,1254307.19777735,13510874.2004264,11642194.0281855,1250141.5080762,618538.664164712,5.56486458004005,0.935641547861507
"vi201105.056","Viruses",2020-08-18,2020-11-05,"NJ2020",3,1,"VP",9,2,2937569.29637527,1581100.47112864,1356468.82524663,15108486.1407249,13018853.7207542,1423511.66061233,666120.759358443,5.1431931016462,1.16560030109146
"vi201105.113","Viruses",2020-08-18,2020-11-05,"NJ2020",3,1,"VPC",9,2,1649552.23880597,930202.469546418,719349.769259552,10064904.0511727,8414469.52429968,998750.091905007,651684.434968017,6.10159764231425,1.2931156848829
"vi201105.057","Viruses",2020-08-18,2020-11-05,"NJ2020",3,1,"VP",9,3,2877185.5010661,1572344.09923413,1304841.40183196,15250234.5415778,13182004.3800311,1418661.65433574,649568.507210961,5.30040017785683,1.20500782472613
"vi201105.114","Viruses",2020-08-18,2020-11-05,"NJ2020",3,1,"VPC",9,3,1549765.45842217,840221.984375132,709543.474047043,8564520.25586354,7058282.55888795,917467.332756676,588770.364218918,5.5263331682351,1.1841726618705
"vi201105.071","Viruses",2020-08-18,2020-11-05,"NJ2020",3,1,"VP",12,1,3273773.98720682,1932925.17766639,1340848.80954043,12992238.8059701,11004965.5995117,1401656.49447928,585616.711979138,3.96858147713951,1.44156832889227
"vi201105.127","Viruses",2020-08-18,2020-11-05,"NJ2020",3,1,"VPC",12,1,1601961.62046908,880490.874704041,721470.745765042,9228230.2771855,7832763.81003666,916605.354634595,478861.112514244,5.76058137677687,1.22041105598866
"vi201105.072","Viruses",2020-08-18,2020-11-05,"NJ2020",3,1,"VP",12,2,3297313.43283582,1952356.63786331,1344956.79497251,12330575.6929638,10345097.1561244,1375760.69755174,609717.839287637,3.73958252502522,1.45161290322581
"vi201105.128","Viruses",2020-08-18,2020-11-05,"NJ2020",3,1,"VPC",12,2,1616289.97867804,890723.550413522,725566.428264516,8894584.2217484,7405973.93993145,976540.36999705,512069.9118199,5.50308690834257,1.2276250880902
"vi201105.073","Viruses",2020-08-18,2020-11-05,"NJ2020",3,1,"VP",12,3,3007675.90618337,1737552.84366379,1270123.06251958,14064307.0362473,12174725.9017882,1295151.45206461,594429.682394493,4.6761378136963,1.36801928485335
