"Sample_Name","Staining_Protocol","Date_Measurement","Location","Expt_Date","Expt_No","Depth","Sample_Type","Timepoint","Replicate","Acquisition_Duration","Dilution","Flowrate"
"vi201102.070","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201102.071","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201102.072","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201102.073","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201102.074","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201102.075","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201102.076","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201102.077","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201102.079","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"VPC",0,1,60,20,39.0833333333333
"vi201102.080","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"VPC",0,2,60,20,39.0833333333333
"vi201102.081","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"VPC",0,3,60,20,39.0833333333333
"vi201102.082","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"VPC",3,1,60,20,39.0833333333333
"vi201102.083","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"VPC",3,2,60,20,39.0833333333333
"vi201102.084","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"VPC",3,3,60,20,39.0833333333333
"vi201102.085","Viruses",2020-11-02,"NJ2020",2020-08-04,1,1,"TE",NA,NA,60,NA,39.0833333333333
