"Location","Expt_No","Depth","Time_Range","Population","Sample_Type","Replicate","VP","VP_SE","VP_R_Squared","VP_Type"
"NJ2020","3","1","T0_T9","c_Viruses","VP","2",-235684.434968016,245285.21932931,0.315829849327532,"LM_SR"
"NJ2020","3","1","T0_T9","c_Viruses","VP","3",-499718.550106611,306673.988852258,0.570372814199223,"LM_SR"
"NJ2020","4","1","T0_T9","c_Viruses","VP","1",2224136.46055437,879510.08258583,0.761763232176379,"LM_SR"
"NJ2020","4","1","T0_T9","c_Viruses","VP","2",2191172.70788913,819906.787491633,0.781231226005271,"LM_SR"
"NJ2020","4","1","T0_T9","c_Viruses","VP","3",2839658.84861407,687805.224692207,0.894986510376986,"LM_SR"
"NJ2020","5","1","T0_T9","c_Viruses","VP","1",225714.285714286,607251.489090091,0.0646161097160515,"LM_SR"
"NJ2020","5","1","T0_T9","c_Viruses","VP","2",-208742.004264393,195576.499291383,0.362887757226967,"LM_SR"
"NJ2020","5","1","T0_T9","c_Viruses","VP","3",-213901.918976546,282943.393162803,0.222249403428515,"LM_SR"
"NJ2020","6","1","T0_T9","c_Viruses","VP","1",-1972878.46481876,691253.184137393,0.802871410595152,"LM_SR"
"NJ2020","6","1","T0_T9","c_Viruses","VP","2",-305714.285714287,148340.348668843,0.679861669225128,"LM_SR"
"NJ2020","6","1","T0_T9","c_Viruses","VP","3",-523582.089552238,245731.654987197,0.694185447446205,"LM_SR"
"NJ2020","7","1","T0_T9","c_Viruses","VP","1",-120127.931769723,238347.017857424,0.112696574917766,"LM_SR"
"NJ2020","7","1","T0_T9","c_Viruses","VP","2",-162149.253731343,97414.5850208744,0.580770068257359,"LM_SR"
"NJ2020","7","1","T0_T9","c_Viruses","VP","3",-165748.400852879,19059.0420722153,0.974236906085694,"LM_SR"
"NJ2020","1","1","T0_T24","c_Viruses","VP","1",162307.036247335,112269.129211724,0.343189546910237,"LM_SR"
"NJ2020","1","1","T0_T24","c_Viruses","VP","2",87153.5181236673,108181.977557608,0.139604150203607,"LM_SR"
"NJ2020","1","1","T0_T24","c_Viruses","VP","3",36095.948827292,110451.642877088,0.0260057256755256,"LM_SR"
"NJ2020","2","1","T0_T24","c_Viruses","VP","1",4846657.78251599,849844.983248989,0.890483268521492,"LM_SR"
"NJ2020","2","1","T0_T24","c_Viruses","VP","2",1983438.1663113,376178.970341783,0.874214724983035,"LM_SR"
"NJ2020","2","1","T0_T24","c_Viruses","VP","3",3693981.87633262,640695.690262135,0.892594111214502,"LM_SR"
"NJ2020","3","1","T0_T24","c_Viruses","VP","1",352674.840085288,187921.713655829,0.468229789856996,"LM_SR"
"NJ2020","3","1","T0_T24","c_Viruses","VP","2",135911.513859275,216889.176992323,0.0893937908126554,"LM_SR"
"NJ2020","3","1","T0_T24","c_Viruses","VP","3",93401.9189765457,189682.740544788,0.0571527725838047,"LM_SR"
"NJ2020","4","1","T0_T24","c_Viruses","VP","1",830511.727078891,369381.685933642,0.558266271297441,"LM_SR"
"NJ2020","4","1","T0_T24","c_Viruses","VP","2",1032409.38166311,301484.693838355,0.745654400502899,"LM_SR"
