"Location","Expt_No","Depth","Time_Range","Population","Sample_Type","VP","VP_SE","VP_R_Squared","VP_Type"
"NJ2020","6","1","T0_T6","c_V1","VP",-379395.375223917,330854.16151117,0.158143360557402,"LM_AP"
"NJ2020","7","1","T0_T6","c_V1","VP",12873.3971297679,128425.292000994,0.00143338947246362,"LM_AP"
"NJ2020","1","1","T0_T9","c_V1","VP",-252766.499576221,83479.0741144102,0.478302434469203,"LM_AP"
"NJ2020","2","1","T0_T9","c_V1","VP",2523210.77349567,847455.273711843,0.469914824575986,"LM_AP"
"NJ2020","3","1","T0_T9","c_V1","VP",-52705.75179513,153985.244590949,0.0115797568934173,"LM_AP"
"NJ2020","4","1","T0_T9","c_V1","VP",1892231.11357716,289321.125184793,0.810515653169609,"LM_AP"
"NJ2020","5","1","T0_T9","c_V1","VP",-14225.2577591773,200717.369095603,0.000502033031138333,"LM_AP"
"NJ2020","6","1","T0_T9","c_V1","VP",-747217.008827771,325682.655813191,0.344857674077733,"LM_AP"
"NJ2020","7","1","T0_T9","c_V1","VP",-134752.26713008,78469.7970509919,0.22773648773762,"LM_AP"
"NJ2020","1","1","T0_T24","c_V1","VP",69321.1449464805,43208.117539688,0.13857867347843,"LM_AP"
"NJ2020","2","1","T0_T24","c_V1","VP",3488940.59666085,500383.83178774,0.752383906891878,"LM_AP"
"NJ2020","3","1","T0_T24","c_V1","VP",219282.830339632,92896.7015669303,0.258296717288419,"LM_AP"
"NJ2020","4","1","T0_T24","c_V1","VP",691286.601105347,147065.987902624,0.57999613162219,"LM_AP"
"NJ2020","5","1","T0_T24","c_V1","VP",47910.4779001729,64911.3294203199,0.0329275213233582,"LM_AP"
"NJ2020","6","1","T0_T24","c_V1","VP",-109900.71065084,109670.820273857,0.0590558189113376,"LM_AP"
"NJ2020","7","1","T0_T24","c_V1","VP",-39812.2220890035,24309.5162440413,0.143566713542048,"LM_AP"
"NJ2020","1","1","T0_T12","c_V1","VP",-18517.0640337669,84220.1867663212,0.00370473008881635,"LM_AP"
"NJ2020","2","1","T0_T12","c_V1","VP",4002082.28091114,843140.474832112,0.634117872506915,"LM_AP"
"NJ2020","3","1","T0_T12","c_V1","VP",-292946.101711594,118394.980488417,0.320162583992662,"LM_AP"
"NJ2020","4","1","T0_T12","c_V1","VP",1399174.74074458,227893.576210742,0.743562696845663,"LM_AP"
"NJ2020","5","1","T0_T12","c_V1","VP",106643.146017587,135406.546509395,0.045540793413277,"LM_AP"
"NJ2020","6","1","T0_T12","c_V1","VP",-398973.348449192,224514.670666685,0.195439982837345,"LM_AP"
"NJ2020","7","1","T0_T12","c_V1","VP",-55210.2541285134,53676.3840122894,0.0752576070342699,"LM_AP"
"NJ2020","1","1","T0_T3","c_V2","VP",-6672.03471187687,15552.2947792143,0.0439876873829937,"LM_AP"
"NJ2020","2","1","T0_T3","c_V2","VP",-198018.623028873,46638.2283175841,0.818406233749959,"LM_AP"
"NJ2020","3","1","T0_T3","c_V2","VP",-377442.82365413,392310.786407636,0.187922693988332,"LM_AP"
"NJ2020","4","1","T0_T3","c_V2","VP",-58028.8156085867,25620.82541216,0.561874724430131,"LM_AP"
"NJ2020","5","1","T0_T3","c_V2","VP",-21825.8791317163,59378.1470011518,0.0326740564371421,"LM_AP"
"NJ2020","6","1","T0_T3","c_V2","VP",-54267.3913839383,42860.4077674368,0.286111676228667,"LM_AP"
"NJ2020","7","1","T0_T3","c_V2","VP",13652.5125229567,20981.2413528706,0.095720608345074,"LM_AP"
"NJ2020","1","1","T0_T6","c_V2","VP",-105086.85997903,22746.3746663649,0.753032713837537,"LM_AP"
"NJ2020","2","1","T0_T6","c_V2","VP",-315190.535354895,33743.1423397442,0.925731002694965,"LM_AP"
"NJ2020","3","1","T0_T6","c_V2","VP",-211520.871318424,152636.184110003,0.215281730995009,"LM_AP"
"NJ2020","4","1","T0_T6","c_V2","VP",552635.357456512,134349.806648255,0.707359234554962,"LM_AP"
"NJ2020","5","1","T0_T6","c_V2","VP",-110319.146079083,33743.273115747,0.604268497066151,"LM_AP"
"NJ2020","6","1","T0_T6","c_V2","VP",-94930.4885566886,49199.4800957119,0.347196239395397,"LM_AP"
"NJ2020","7","1","T0_T6","c_V2","VP",5166.33504679121,11604.9869844483,0.0275329456068847,"LM_AP"
"NJ2020","1","1","T0_T9","c_V2","VP",-56830.3402749292,17452.2847155665,0.514649419570439,"LM_AP"
"NJ2020","2","1","T0_T9","c_V2","VP",-185485.215634869,41257.900072785,0.669003179217443,"LM_AP"
"NJ2020","3","1","T0_T9","c_V2","VP",-123809.687529997,83905.222679143,0.178804291297115,"LM_AP"
"NJ2020","4","1","T0_T9","c_V2","VP",428287.186691294,78204.1504676488,0.749952205266605,"LM_AP"
"NJ2020","5","1","T0_T9","c_V2","VP",-49312.2915177673,24389.4429674505,0.290174005842333,"LM_AP"
"NJ2020","6","1","T0_T9","c_V2","VP",-163036.152025178,64358.8157390461,0.390886115414603,"LM_AP"
"NJ2020","7","1","T0_T9","c_V2","VP",-13343.558137244,7947.05608848132,0.219922040120081,"LM_AP"
"NJ2020","1","1","T0_T24","c_V2","VP",22996.6799359084,9842.92662483269,0.254378423164374,"LM_AP"
"NJ2020","2","1","T0_T24","c_V2","VP",19411.3552931614,25413.6039592954,0.0351807566900566,"LM_AP"
"NJ2020","3","1","T0_T24","c_V2","VP",-18021.3538929074,26305.2094236298,0.028498040619262,"LM_AP"
