"Location","Expt_No","Depth","Time_Range","Population","Sample_Type","Replicate","VP","VP_SE","VP_R_Squared","VP_Type","VP_Slope"
"NJ2020","4","1","T0_T9","c_Viruses","VP","2",NA,821706.643269458,0.780887049354753,"LM_SR",2193773.98720682
"NJ2020","4","1","T0_T12","c_Viruses","VP","2",NA,581884.829051051,0.718505391651069,"LM_SR",1610191.89765459
"NJ2020","4","1","T0_T24","c_Viruses","VP","2",NA,302051.711275256,0.745207681441279,"LM_SR",1033134.32835821
"NJ2020","4","1","T0_T3","c_Viruses","VP","3",NA,NA,1,"LM_SR",475906.183368867
"NJ2020","4","1","T0_T6","c_Viruses","VP","3",NA,1505542.38639428,0.807504745249998,"LM_SR",3083582.08955225
"NJ2020","4","1","T0_T9","c_Viruses","VP","3",NA,687538.641776772,0.895245310973249,"LM_SR",2842473.34754798
"NJ2020","4","1","T0_T12","c_Viruses","VP","3",NA,629575.668985926,0.770152665070074,"LM_SR",1996076.75906184
"NJ2020","4","1","T0_T24","c_Viruses","VP","3",NA,437917.149116307,0.460320811277659,"LM_SR",808880.597014926
"NJ2020","5","1","T0_T3","c_Viruses","VP","1",NA,NA,1,"LM_SR",333475.479744136
"NJ2020","5","1","T0_T6","c_Viruses","VP","1",NA,501580.740258666,0.851744865182895,"LM_SR",1202238.80597015
"NJ2020","5","1","T0_T9","c_Viruses","VP","1",NA,607467.499518797,0.0638898556587977,"LM_SR",224434.968017057
"NJ2020","5","1","T0_T12","c_Viruses","VP","1",NA,353214.53279932,0.0580509376031513,"LM_SR",151876.332622601
"NJ2020","5","1","T0_T24","c_Viruses","VP","1",NA,153823.326586258,0.087151976519033,"LM_SR",95058.635394456
"NJ2020","5","1","T0_T3","c_Viruses","VP","2",NA,NA,1,"LM_SR",478464.8187633
"NJ2020","5","1","T0_T6","c_Viruses","VP","2",NA,230509.249265997,0.105613725810787,"LM_SR",79211.0874200307
"NJ2020","5","1","T0_T9","c_Viruses","VP","2",NA,195302.941679677,0.362116201706033,"LM_SR",-208102.345415784
"NJ2020","5","1","T0_T12","c_Viruses","VP","2",NA,218538.17950709,0.0860436134364886,"LM_SR",116140.72494669
"NJ2020","5","1","T0_T24","c_Viruses","VP","2",NA,102767.968086676,0.0120533446930831,"LM_SR",-22702.5586353953
"NJ2020","5","1","T0_T3","c_Viruses","VP","3",NA,NA,1,"LM_SR",-218763.326225998
"NJ2020","5","1","T0_T6","c_Viruses","VP","3",NA,257099.368273462,0.869648825450999,"LM_SR",-664072.494669501
"NJ2020","5","1","T0_T9","c_Viruses","VP","3",NA,284900.896424053,0.217755652679627,"LM_SR",-212579.957356069
"NJ2020","5","1","T0_T12","c_Viruses","VP","3",NA,200653.636973271,0.00151540183431897,"LM_SR",-13539.4456289962
"NJ2020","5","1","T0_T24","c_Viruses","VP","3",NA,87527.2557957746,0.017126303346629,"LM_SR",23107.6759061824
"NJ2020","6","1","T0_T3","c_Viruses","VP","1",NA,NA,1,"LM_SR",205543.710021335
"NJ2020","6","1","T0_T6","c_Viruses","VP","1",NA,588306.383039929,0.656566611203265,"LM_SR",-813432.8358209
"NJ2020","6","1","T0_T9","c_Viruses","VP","1",NA,691977.530123845,0.794121305351037,"LM_SR",-1921961.62046908
"NJ2020","6","1","T0_T12","c_Viruses","VP","1",NA,743306.983685198,0.29673804340061,"LM_SR",-836289.978678037
"NJ2020","6","1","T0_T24","c_Viruses","VP","1",NA,385678.757395709,0.0165915781891016,"LM_SR",-100191.897654586
"NJ2020","6","1","T0_T3","c_Viruses","VP","2",NA,NA,1,"LM_SR",241364.605543703
"NJ2020","6","1","T0_T6","c_Viruses","VP","2",NA,289906.158622927,0.447233348602629,"LM_SR",-260767.590618335
"NJ2020","6","1","T0_T9","c_Viruses","VP","2",NA,129771.442166966,0.651710386826926,"LM_SR",-251044.776119396
"NJ2020","6","1","T0_T12","c_Viruses","VP","2",NA,75020.7010658699,0.779672368791001,"LM_SR",-244434.968017056
