"Location","Station_Number","Depth","Time_Range","Population","Sample_Type","Replicate","VP","abs_VP","VP_SE","VP_R_Squared","VP_Type"
"NJ2020","1","1","T0_T3","c_Viruses","VP","1",-110703.624733476,-332110.874200428,NA,1,"LM_SR"
"NJ2020","1","1","T0_T6","c_Viruses","VP","1",-659189.765458423,-3955138.59275054,316668.620994325,0.812496054542013,"LM_SR"
"NJ2020","1","1","T0_T17","c_Viruses","VP","1",-127998.449311882,-2175973.63830199,150814.868448892,0.264790415753163,"LM_SR"
"NJ2020","1","1","T0_T20","c_Viruses","VP","1",-15589.2352907279,-311784.705814559,113210.773866328,0.00628082253087438,"LM_SR"
"NJ2020","1","1","T0_T24","c_Viruses","VP","1",99557.8862444535,2389389.26986688,108165.867982563,0.174776305024043,"LM_SR"
"NJ2020","1","1","T0_T3","c_Viruses","VP","2",31897.6545842232,95692.9637526697,NA,1,"LM_SR"
"NJ2020","1","1","T0_T6","c_Viruses","VP","2",-595394.456289979,-3572366.73773988,362167.269073748,0.729923784782905,"LM_SR"
"NJ2020","1","1","T0_T17","c_Viruses","VP","2",-125174.646249273,-2127968.98623764,143845.76714513,0.274639260876755,"LM_SR"
"NJ2020","1","1","T0_T20","c_Viruses","VP","2",39429.3288109928,788586.576219857,132454.161943856,0.0286908731414349,"LM_SR"
"NJ2020","1","1","T0_T24","c_Viruses","VP","2",71824.6988993263,1723792.77358383,93468.2791973701,0.128635026653739,"LM_SR"
"NJ2020","1","1","T0_T3","c_Viruses","VP","3",-168017.057569296,-504051.172707887,NA,1,"LM_SR"
"NJ2020","1","1","T0_T6","c_Viruses","VP","3",-775266.524520256,-4651599.14712153,350595.643209392,0.830214278513505,"LM_SR"
"NJ2020","1","1","T0_T17","c_Viruses","VP","3",-130772.63035472,-2223134.71603024,179263.890095339,0.210162734315384,"LM_SR"
"NJ2020","1","1","T0_T20","c_Viruses","VP","3",5836.78408838322,116735.681767664,135696.286335013,0.00061634279105874,"LM_SR"
"NJ2020","1","1","T0_T24","c_Viruses","VP","3",32436.2358093701,778469.659424883,94876.493237411,0.0283906505121346,"LM_SR"
"NJ2020","1","1","T0_T3","c_Viruses","VP","1",0,0,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T6","c_Viruses","VP","1",0,0,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T17","c_Viruses","VP","1",149517.348323318,1644690.8315565,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T20","c_Viruses","VP","1",272330.185805665,3812622.60127931,NA,NA,"VPCL_SR"
