"Location","Station_Number","Depth","Time_Range","Population","Sample_Type","Replicate","VP","abs_VP","VP_SE","VP_R_Squared","VP_Type"
"NJ2020","1","1","T0_T24","c_Viruses","VP","1",387903.340440654,6982260.12793178,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T3","c_Viruses","VP","2",31897.6545842234,95692.9637526702,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T6","c_Viruses","VP","2",31897.6545842234,95692.9637526702,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T17","c_Viruses","VP","2",82636.1698003499,1562814.49893391,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T20","c_Viruses","VP","2",202519.037465734,5319658.8486141,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T24","c_Viruses","VP","2",202519.037465734,5319658.8486141,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T3","c_Viruses","VP","3",0,0,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T6","c_Viruses","VP","3",0,0,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T17","c_Viruses","VP","3",200643.535568908,2207078.89125799,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T20","c_Viruses","VP","3",351245.811757539,4917441.36460554,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T24","c_Viruses","VP","3",351245.811757539,4917441.36460554,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T3","c_V1","VP","1",-106468.531286707,-319405.59386012,NA,1,"LM_SR"
"NJ2020","1","1","T0_T6","c_V1","VP","1",-512351.267154912,-3074107.60292947,234336.506812929,0.826998787487923,"LM_SR"
"NJ2020","1","1","T0_T17","c_V1","VP","1",-87386.022804785,-1485562.38768134,118541.77330286,0.213659325560151,"LM_SR"
"NJ2020","1","1","T0_T20","c_V1","VP","1",-9259.55722524997,-185191.144504999,85299.0202232663,0.00391262778150192,"LM_SR"
"NJ2020","1","1","T0_T24","c_V1","VP","1",82930.9755622872,1990343.41349489,83998.4004078641,0.195938867957721,"LM_SR"
"NJ2020","1","1","T0_T3","c_V1","VP","2",-19751.9400103195,-59255.8200309586,NA,1,"LM_SR"
"NJ2020","1","1","T0_T6","c_V1","VP","2",-451092.314732944,-2706553.88839766,249034.48145846,0.766412049669284,"LM_SR"
"NJ2020","1","1","T0_T17","c_V1","VP","2",-91384.472967323,-1553536.04044449,106323.232293865,0.269735756966769,"LM_SR"
"NJ2020","1","1","T0_T20","c_V1","VP","2",39707.9047376958,794158.094753917,102390.217371873,0.0477388365486811,"LM_SR"
"NJ2020","1","1","T0_T24","c_V1","VP","2",61176.5179160637,1468236.42998553,71761.894444112,0.153751582882187,"LM_SR"
"NJ2020","1","1","T0_T3","c_V1","VP","3",-149715.32890761,-449145.986722829,NA,1,"LM_SR"
"NJ2020","1","1","T0_T6","c_V1","VP","3",-586343.307298754,-3518059.84379252,252087.280859849,0.843995218649148,"LM_SR"
"NJ2020","1","1","T0_T17","c_V1","VP","3",-86943.2089885733,-1478034.55280575,136878.304339473,0.167866845146401,"LM_SR"
"NJ2020","1","1","T0_T20","c_V1","VP","3",12260.2504276276,245205.008552553,101702.818073799,0.00482072963032301,"LM_SR"
"NJ2020","1","1","T0_T24","c_V1","VP","3",26690.8764961869,640581.035908485,70540.2745272591,0.0345556168021597,"LM_SR"
"NJ2020","1","1","T0_T3","c_V1","VP","1",0,0,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T6","c_V1","VP","1",0,0,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T17","c_V1","VP","1",131640.369593028,1448044.06552331,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T20","c_V1","VP","1",206272.012609071,2887808.176527,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T24","c_V1","VP","1",310195.124187646,5583512.23537762,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T3","c_V1","VP","2",0,0,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T6","c_V1","VP","2",0,0,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T17","c_V1","VP","2",101988.791984935,1121876.71183428,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T20","c_V1","VP","2",296984.935431881,4157789.09604634,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T24","c_V1","VP","2",296984.935431881,4157789.09604634,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T3","c_V1","VP","3",0,0,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T6","c_V1","VP","3",0,0,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T17","c_V1","VP","3",166778.857153945,1834567.4286934,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T20","c_V1","VP","3",270464.790779242,3786507.07090939,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T24","c_V1","VP","3",270464.790779242,3786507.07090939,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T3","c_V2","VP","1",-27972.0070559166,-83916.0211677498,NA,1,"LM_SR"
"NJ2020","1","1","T0_T6","c_V2","VP","1",-102391.697857404,-614350.187144423,42966.2285172473,0.850277911675194,"LM_SR"
"NJ2020","1","1","T0_T17","c_V2","VP","1",-26759.5440152965,-454912.24826004,21234.7334505715,0.442593949532781,"LM_SR"
"NJ2020","1","1","T0_T20","c_V2","VP","1",-3050.05756893383,-61001.1513786766,19278.1047730562,0.00827479979428347,"LM_SR"
"NJ2020","1","1","T0_T24","c_V2","VP","1",14280.9450777363,342742.681865671,17420.1009253213,0.143847892360162,"LM_SR"
"NJ2020","1","1","T0_T3","c_V2","VP","2",30738.9871592835,92216.9614778505,NA,1,"LM_SR"
"NJ2020","1","1","T0_T6","c_V2","VP","2",-92957.8312727184,-557746.987636311,71416.3914196164,0.628838478475782,"LM_SR"
"NJ2020","1","1","T0_T17","c_V2","VP","2",-20514.4719743326,-348746.023563655,24484.8284567641,0.259802875165508,"LM_SR"
"NJ2020","1","1","T0_T20","c_V2","VP","2",1461.14259762133,29222.8519524267,19858.3738830152,0.00180133119395146,"LM_SR"
"NJ2020","1","1","T0_T24","c_V2","VP","2",9115.16403084656,218763.936740318,14535.1486517983,0.0895163154153465,"LM_SR"
"NJ2020","1","1","T0_T3","c_V2","VP","3",-19656.0707610999,-58968.2122832997,NA,1,"LM_SR"
"NJ2020","1","1","T0_T6","c_V2","VP","3",-115375.440372547,-692252.642235283,55263.6038118303,0.81338455561624,"LM_SR"
"NJ2020","1","1","T0_T17","c_V2","VP","3",-24219.5822656389,-411732.898515862,25986.9891472469,0.302796538144963,"LM_SR"
"NJ2020","1","1","T0_T20","c_V2","VP","3",-638.718966830172,-12774.3793366034,21184.3116461525,0.000302927065475586,"LM_SR"
"NJ2020","1","1","T0_T24","c_V2","VP","3",6920.39913515496,166089.579243719,15374.3109554503,0.0482115827190897,"LM_SR"
"NJ2020","1","1","T0_T3","c_V2","VP","1",0,0,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T6","c_V2","VP","1",0,0,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T17","c_V2","VP","1",12419.6626392484,136616.289031732,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T20","c_V2","VP","1",45814.4748935974,641402.648510363,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T24","c_V2","VP","1",57369.9951099568,1032659.91197922,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T3","c_V2","VP","2",30738.9871592834,92216.9614778501,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T6","c_V2","VP","2",30738.9871592834,92216.9614778501,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T17","c_V2","VP","2",26258.4172409867,331773.28202744,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T20","c_V2","VP","2",40986.6648422599,809497.75683116,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T24","c_V2","VP","2",36499.9207547661,852912.33978233,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T3","c_V2","VP","3",0,0,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T6","c_V2","VP","3",0,0,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T17","c_V2","VP","3",23548.9749396611,259038.724336272,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T20","c_V2","VP","3",53413.1737404309,747784.432366033,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T24","c_V2","VP","3",42187.9849526796,759383.729148233,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T3","c_V3","VP","1",23736.9136091503,71210.740827451,NA,1,"LM_SR"
"NJ2020","1","1","T0_T6","c_V3","VP","1",-44446.8004461074,-266680.802676644,39365.8856641515,0.560400289356168,"LM_SR"
"NJ2020","1","1","T0_T17","c_V3","VP","1",-13852.882491801,-235499.002360616,11909.3657327615,0.403522140018705,"LM_SR"
"NJ2020","1","1","T0_T20","c_V3","VP","1",-3279.62049654437,-65592.4099308874,9610.94118633812,0.037364234016644,"LM_SR"
"NJ2020","1","1","T0_T24","c_V3","VP","1",2345.96560442926,56303.1745063023,7557.53705432972,0.0235225784117578,"LM_SR"
"NJ2020","1","1","T0_T3","c_V3","VP","2",20910.6074352564,62731.8223057691,NA,1,"LM_SR"
"NJ2020","1","1","T0_T6","c_V3","VP","2",-51344.3102843172,-308065.861705903,41716.39619567,0.60236276982974,"LM_SR"
"NJ2020","1","1","T0_T17","c_V3","VP","2",-13275.7013076173,-225686.922229494,13551.7836882383,0.324249040054272,"LM_SR"
"NJ2020","1","1","T0_T20","c_V3","VP","2",-1739.71852432531,-34794.3704865062,10733.1225476833,0.00868155917794403,"LM_SR"
"NJ2020","1","1","T0_T24","c_V3","VP","2",1533.01695241551,36792.4068579723,7680.57862307838,0.00986147782470035,"LM_SR"
"NJ2020","1","1","T0_T3","c_V3","VP","3",1354.34209941441,4063.02629824322,NA,1,"LM_SR"
"NJ2020","1","1","T0_T6","c_V3","VP","3",-73547.776848956,-441286.661093736,43244.758537715,0.743095160030138,"LM_SR"
"NJ2020","1","1","T0_T17","c_V3","VP","3",-19609.839100508,-333367.264708636,16736.9779351933,0.407013483141286,"LM_SR"
"NJ2020","1","1","T0_T20","c_V3","VP","3",-5784.74737241419,-115694.947448284,13086.0548980036,0.0611539412794154,"LM_SR"
"NJ2020","1","1","T0_T24","c_V3","VP","3",-1175.0398219716,-28200.9557273184,9484.64747752492,0.00382243008008422,"LM_SR"
"NJ2020","1","1","T0_T3","c_V3","VP","1",23736.9136091503,71210.740827451,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T6","c_V3","VP","1",23736.9136091503,71210.740827451,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T17","c_V3","VP","1",14597.1148500962,131241.217828914,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T20","c_V3","VP","1",21990.3059560736,354622.517069406,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T24","c_V3","VP","1",22037.5673761007,437298.721402371,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T3","c_V3","VP","2",20910.6074352564,62731.8223057691,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T6","c_V3","VP","2",20910.6074352564,62731.8223057691,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T17","c_V3","VP","2",15259.326572054,168420.325103137,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T20","c_V3","VP","2",22915.8749126907,411627.815767519,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T24","c_V3","VP","2",22915.8749126907,411627.815767519,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T3","c_V3","VP","3",1354.34209941436,4063.02629824309,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T6","c_V3","VP","3",1354.34209941436,4063.02629824309,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T17","c_V3","VP","3",5835.02278735823,117535.764526566,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T20","c_V3","VP","3",14361.0946686404,387212.887628372,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T24","c_V3","VP","3",14361.0946686404,387212.887628372,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T3","c_Viruses","VPC","1",131172.707889127,393518.123667381,NA,1,"LM_SR"
"NJ2020","1","1","T0_T6","c_Viruses","VPC","1",66823.0277185498,400938.166311298,37152.3051687485,0.763875183697947,"LM_SR"
"NJ2020","1","1","T0_T17","c_Viruses","VPC","1",41938.360147315,712952.122504356,10639.6340937947,0.885955952765568,"LM_SR"
"NJ2020","1","1","T0_T20","c_Viruses","VPC","1",48172.9795589068,963459.591178137,7397.84205750802,0.933925117033976,"LM_SR"
"NJ2020","1","1","T0_T24","c_Viruses","VPC","1",46565.6082521752,1117574.5980522,5192.18696532389,0.9526247061488,"LM_SR"
"NJ2020","1","1","T0_T3","c_Viruses","VPC","2",-144989.33901919,-434968.01705757,NA,1,"LM_SR"
"NJ2020","1","1","T0_T6","c_Viruses","VPC","2",244989.339019189,1469936.03411514,225154.294743673,0.542114367621317,"LM_SR"
"NJ2020","1","1","T0_T17","c_Viruses","VPC","2",87339.4068617946,1484769.91665051,65473.6213645807,0.470823599689271,"LM_SR"
"NJ2020","1","1","T0_T20","c_Viruses","VPC","2",64629.5823694543,1292591.64738909,41373.3747331153,0.448547055945386,"LM_SR"
"NJ2020","1","1","T0_T24","c_Viruses","VPC","2",44229.6432893445,1061511.43894427,31399.8870348551,0.33156561891312,"LM_SR"
"NJ2020","1","1","T0_T3","c_Viruses","VPC","3",-99445.6289978669,-298336.886993601,NA,1,"LM_SR"
"NJ2020","1","1","T0_T6","c_Viruses","VPC","3",-10021.3219616207,-60127.9317697244,51629.1477394732,0.0363076813839032,"LM_SR"
"NJ2020","1","1","T0_T17","c_Viruses","VPC","3",47069.5871292884,800182.981197902,18572.7770878346,0.762550391082285,"LM_SR"
"NJ2020","1","1","T0_T20","c_Viruses","VPC","3",67669.9788426867,1353399.57685373,16798.0022928326,0.843981113548616,"LM_SR"
"NJ2020","1","1","T0_T24","c_Viruses","VPC","3",54954.4747305942,1318907.39353426,14218.0044771896,0.788798407888314,"LM_SR"
"NJ2020","1","1","T0_T3","c_Viruses","VPC","1",131172.707889127,393518.12366738,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T6","c_Viruses","VPC","1",66823.0277185501,400938.1663113,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T17","c_Viruses","VPC","1",47605.6691333247,809296.37526652,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T20","c_Viruses","VPC","1",57326.2260127929,1146524.52025586,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T24","c_Viruses","VPC","1",49946.6950959488,1198720.68230277,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T3","c_Viruses","VPC","2",0,0,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T6","c_Viruses","VPC","2",634968.01705757,1904904.05117271,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T17","c_Viruses","VPC","2",634968.01705757,1904904.05117271,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T20","c_Viruses","VPC","2",634968.01705757,1904904.05117271,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T24","c_Viruses","VPC","2",634968.01705757,1904904.05117271,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T3","c_Viruses","VPC","3",0,0,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T6","c_Viruses","VPC","3",79402.9850746266,238208.95522388,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T17","c_Viruses","VPC","3",66835.2116966186,935692.96375266,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T20","c_Viruses","VPC","3",93901.9189765458,1596332.62260128,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T24","c_Viruses","VPC","3",93901.9189765458,1596332.62260128,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T3","c_V1","VPC","1",151404.568806117,454213.706418351,NA,1,"LM_SR"
"NJ2020","1","1","T0_T6","c_V1","VPC","1",90017.4745796146,540104.847477688,35441.8553764395,0.865788143788024,"LM_SR"
"NJ2020","1","1","T0_T17","c_V1","VPC","1",31880.636931487,541970.827835279,16596.6283282124,0.648499787664767,"LM_SR"
"NJ2020","1","1","T0_T20","c_V1","VPC","1",40618.1833779866,812363.667559733,11237.7713133917,0.813248564695925,"LM_SR"
"NJ2020","1","1","T0_T24","c_V1","VPC","1",40211.5116739921,965076.28017581,7729.2460644506,0.871242506341273,"LM_SR"
"NJ2020","1","1","T0_T3","c_V1","VPC","2",-128848.536690603,-386545.610071809,NA,1,"LM_SR"
"NJ2020","1","1","T0_T6","c_V1","VPC","2",190588.404742128,1143530.42845277,184427.004125299,0.516425292765851,"LM_SR"
"NJ2020","1","1","T0_T17","c_V1","VPC","2",77545.4340788738,1318272.37934085,51357.9807700178,0.532688347531432,"LM_SR"
"NJ2020","1","1","T0_T20","c_V1","VPC","2",61019.3029669275,1220386.05933855,32195.5682472854,0.544906319901084,"LM_SR"
"NJ2020","1","1","T0_T24","c_V1","VPC","2",44532.5454614155,1068781.09107397,24606.4282570728,0.450198368124692,"LM_SR"
"NJ2020","1","1","T0_T3","c_V1","VPC","3",-42281.1249751398,-126843.374925419,NA,1,"LM_SR"
"NJ2020","1","1","T0_T6","c_V1","VPC","3",-8757.31452058049,-52543.8871234829,19354.9809902024,0.169930343614531,"LM_SR"
"NJ2020","1","1","T0_T17","c_V1","VPC","3",40848.3007887025,694421.113407942,13080.1264665599,0.829826090518227,"LM_SR"
"NJ2020","1","1","T0_T20","c_V1","VPC","3",60676.3056387085,1213526.11277417,14452.007278797,0.854560563166486,"LM_SR"
"NJ2020","1","1","T0_T24","c_V1","VPC","3",47066.352766648,1129592.46639955,13324.2202888764,0.757248919763344,"LM_SR"
"NJ2020","1","1","T0_T3","c_V1","VPC","1",151404.568806117,454213.70641835,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T6","c_V1","VPC","1",90017.4745796151,540104.84747769,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T17","c_V1","VPC","1",39888.5461618959,678105.28475223,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T20","c_V1","VPC","1",54997.086409876,1099941.72819752,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T24","c_V1","VPC","1",47473.1399668158,1139355.35920358,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T3","c_V1","VPC","2",0,0,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T6","c_V1","VPC","2",510025.34617486,1530076.03852458,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T17","c_V1","VPC","2",109337.286447233,1530722.01026126,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T20","c_V1","VPC","2",109337.286447233,1530722.01026126,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T24","c_V1","VPC","2",109337.286447233,1530722.01026126,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T3","c_V1","VPC","3",0,0,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T6","c_V1","VPC","3",24766.4959339797,74299.4878019392,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T17","c_V1","VPC","3",51711.5735445721,723962.02962401,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T20","c_V1","VPC","3",79607.8941815,1353334.2010855,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T24","c_V1","VPC","3",79607.8941815,1353334.2010855,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T3","c_V2","VPC","1",-15035.5115218632,-45106.5345655897,NA,1,"LM_SR"
"NJ2020","1","1","T0_T6","c_V2","VPC","1",-12238.4494485184,-73430.6966911102,1614.88454098582,0.98288670571853,"LM_SR"
"NJ2020","1","1","T0_T17","c_V2","VPC","1",3691.04902474746,62747.8334207069,3959.53213637078,0.30288915631168,"LM_SR"
"NJ2020","1","1","T0_T20","c_V2","VPC","1",4412.89682303613,88257.9364607225,2396.94910878798,0.530476413887845,"LM_SR"
"NJ2020","1","1","T0_T24","c_V2","VPC","1",5816.99668234713,139607.920376331,1885.17984427046,0.704168445948716,"LM_SR"
"NJ2020","1","1","T0_T3","c_V2","VPC","2",-3202.51621478672,-9607.54864436015,NA,1,"LM_SR"
"NJ2020","1","1","T0_T6","c_V2","VPC","2",36393.1149720383,218358.68983223,22860.5483244466,0.717061880463281,"LM_SR"
"NJ2020","1","1","T0_T17","c_V2","VPC","2",6582.2522030811,111898.287452379,9105.77566279411,0.207146687728657,"LM_SR"
"NJ2020","1","1","T0_T20","c_V2","VPC","2",2785.15484940739,55703.0969881479,5897.85073986508,0.069191125924271,"LM_SR"
"NJ2020","1","1","T0_T24","c_V2","VPC","2",296.318251277864,7111.63803066873,4367.20849753107,0.00114960701402542,"LM_SR"
"NJ2020","1","1","T0_T3","c_V2","VPC","3",-33975.8660651333,-101927.5981954,NA,1,"LM_SR"
"NJ2020","1","1","T0_T6","c_V2","VPC","3",-15162.6583491834,-90975.9500951004,10861.8105391241,0.66086815490865,"LM_SR"
"NJ2020","1","1","T0_T17","c_V2","VPC","3",4227.30839854274,71864.2427752266,5427.13877788832,0.23275132505119,"LM_SR"
"NJ2020","1","1","T0_T20","c_V2","VPC","3",5703.69698867864,114073.939773573,3353.61209647349,0.490886215563226,"LM_SR"
"NJ2020","1","1","T0_T24","c_V2","VPC","3",5613.87317734188,134732.956256205,2305.97200667272,0.597048669904107,"LM_SR"
"NJ2020","1","1","T0_T3","c_V2","VPC","1",0,0,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T6","c_V2","VPC","1",0,0,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T17","c_V2","VPC","1",10263.6985715573,112900.68428713,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T20","c_V2","VPC","1",8876.15879561143,124266.22313856,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T24","c_V2","VPC","1",10514.4011445467,189259.22060184,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T3","c_V2","VPC","2",0,0,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T6","c_V2","VPC","2",75988.7461588633,227966.23847659,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T17","c_V2","VPC","2",75988.7461588633,227966.23847659,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T20","c_V2","VPC","2",75988.7461588633,227966.23847659,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T24","c_V2","VPC","2",75988.7461588633,227966.23847659,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T3","c_V2","VPC","3",0,0,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T6","c_V2","VPC","3",3650.54936676666,10951.6481003,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T17","c_V2","VPC","3",9289.1911434,130048.6760076,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T20","c_V2","VPC","3",9428.69568921941,160287.82671673,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T24","c_V2","VPC","3",7688.80537061809,161464.91278298,NA,NA,"VPCL_SR"
"NJ2020","1","1","T0_T3","c_V3","VPC","1",-5196.34939512927,-15589.0481853878,NA,1,"LM_SR"
"NJ2020","1","1","T0_T6","c_V3","VPC","1",-10955.9974125482,-65735.9844752892,3325.33433329425,0.915648007547843,"LM_SR"
"NJ2020","1","1","T0_T17","c_V3","VPC","1",6366.67419108109,108233.461248379,4356.04076819167,0.516464082571411,"LM_SR"
"NJ2020","1","1","T0_T20","c_V3","VPC","1",3141.89935788425,62837.987157685,3261.69223395175,0.236232023621173,"LM_SR"
"NJ2020","1","1","T0_T24","c_V3","VPC","1",537.09989583616,12890.3975000678,2813.35327771868,0.00902947172112534,"LM_SR"
"NJ2020","1","1","T0_T3","c_V3","VPC","2",-12938.286113799,-38814.8583413969,NA,1,"LM_SR"
"NJ2020","1","1","T0_T6","c_V3","VPC","2",18007.8193050245,108046.915830147,17866.7422939283,0.503932447481991,"LM_SR"
"NJ2020","1","1","T0_T17","c_V3","VPC","2",3211.72057983992,54599.2498572787,5551.1772899044,0.143372916296786,"LM_SR"
"NJ2020","1","1","T0_T20","c_V3","VPC","2",825.124553119478,16502.4910623896,3613.17699331379,0.0170865573496697,"LM_SR"
"NJ2020","1","1","T0_T24","c_V3","VPC","2",-599.22042334868,-14381.2901603683,2651.81133677717,0.0126043136727571,"LM_SR"
"NJ2020","1","1","T0_T3","c_V3","VPC","3",-23188.6379575942,-69565.9138727827,NA,1,"LM_SR"
"NJ2020","1","1","T0_T6","c_V3","VPC","3",13898.6509081441,83391.9054488648,21412.3562101476,0.296430736493587,"LM_SR"
"NJ2020","1","1","T0_T17","c_V3","VPC","3",1993.97794204355,33897.6250147404,5803.90397420222,0.0557272635243978,"LM_SR"
"NJ2020","1","1","T0_T20","c_V3","VPC","3",1289.97621529958,25799.5243059917,3479.8051504045,0.0438006679794179,"LM_SR"
