"Location","Station_Number","Depth","Time_Range","Population","Sample_Type","VP","VP_SE","VP_R_Squared","VP_Type"
"NJ2020","1","1","T0_T17","c_Viruses","VP",-127981.908638625,71588.5536780142,0.242195964382434,"LM_AP"
"NJ2020","1","1","T0_T17","c_V1","VP",-88571.2349202272,55073.7447682467,0.205491827165915,"LM_AP"
"NJ2020","1","1","T0_T17","c_V2","VP",-23831.1994184227,10877.407917506,0.32432418977704,"LM_AP"
"NJ2020","1","1","T0_T17","c_V3","VP",-15579.4742999754,6497.15187710273,0.365074943512701,"LM_AP"
"NJ2020","1","1","T0_T17","c_Viruses","VPC",58782.451379466,23087.9490771995,0.393286112332945,"LM_AP"
"NJ2020","1","1","T0_T17","c_V1","VPC",50091.4572663543,18098.3394218328,0.433760520412967,"LM_AP"
"NJ2020","1","1","T0_T17","c_V2","VPC",4833.53654212374,4306.74235394442,0.111868886334651,"LM_AP"
"NJ2020","1","1","T0_T17","c_V3","VPC",3857.45757098818,2750.65803440126,0.164344883860073,"LM_AP"
"NJ2020","1","1","T0_T17","c_Viruses","Diff",186764.360018091,94676.5027552137,NA,"LM_AP"
"NJ2020","1","1","T0_T17","c_V1","Diff",138662.692186581,73172.0841900795,NA,"LM_AP"
"NJ2020","1","1","T0_T17","c_V2","Diff",28664.7359605464,15184.1502714504,NA,"LM_AP"
"NJ2020","1","1","T0_T17","c_V3","Diff",19436.9318709636,9247.80991150399,NA,"LM_AP"
"NJ2020","1","1","T0_T17","c_Viruses","VP",-127981.908638625,1616.01997786879,0.249864136981767,"LM_SR_AVG"
"NJ2020","1","1","T0_T17","c_V1","VP",-88571.2349202271,1412.41545483591,0.21708730922444,"LM_SR_AVG"
"NJ2020","1","1","T0_T17","c_V2","VP",-23831.1994184227,1813.22568242493,0.335064454281084,"LM_SR_AVG"
"NJ2020","1","1","T0_T17","c_V3","VP",-15579.4742999754,2022.05875688392,0.378261554404754,"LM_SR_AVG"
"NJ2020","1","1","T0_T17","c_Viruses","VPC",58782.451379466,14355.1053914616,0.706443314512375,"LM_SR_AVG"
"NJ2020","1","1","T0_T17","c_V1","VPC",50091.4572663544,13968.9582155192,0.670338075238142,"LM_SR_AVG"
"NJ2020","1","1","T0_T17","c_V2","VPC",4833.53654212377,887.956150597898,0.247595723030509,"LM_SR_AVG"
"NJ2020","1","1","T0_T17","c_V3","VPC",3857.45757098819,1302.92623453129,0.238521420797532,"LM_SR_AVG"
"NJ2020","1","1","T0_T17","c_Viruses","Diff",186764.360018091,15971.1253693304,NA,"LM_SR_AVG"
"NJ2020","1","1","T0_T17","c_V1","Diff",138662.692186582,15381.3736703551,NA,"LM_SR_AVG"
"NJ2020","1","1","T0_T17","c_V2","Diff",28664.7359605464,2701.18183302283,NA,"LM_SR_AVG"
"NJ2020","1","1","T0_T17","c_V3","Diff",19436.9318709636,3324.98499141521,NA,"LM_SR_AVG"
"NJ2020","1","1","T0_T17","c_Viruses","VP",-127981.908638625,157642.620600874,0.247865201992371,"LM_AR"
"NJ2020","1","1","T0_T17","c_V1","VP",-88571.2349202271,120394.353711286,0.212976183282041,"LM_AR"
"NJ2020","1","1","T0_T17","c_V2","VP",-23831.1994184227,23743.5091277154,0.33497375450781,"LM_AR"
"NJ2020","1","1","T0_T17","c_V3","VP",-15579.4742999754,13997.5327024809,0.3824881132352,"LM_AR"
"NJ2020","1","1","T0_T17","c_Viruses","VPC",58782.4513794661,21332.3020493339,0.791517130361025,"LM_AR"
"NJ2020","1","1","T0_T17","c_V1","VPC",50091.4572663544,16501.3340926298,0.82166534440009,"LM_AR"
"NJ2020","1","1","T0_T17","c_V2","VPC",4833.53654212376,2788.2667039924,0.600408942534192,"LM_AR"
"NJ2020","1","1","T0_T17","c_V3","VPC",3857.45757098819,2903.90662193786,0.468729752369378,"LM_AR"
"NJ2020","1","1","T0_T17","c_Viruses","Diff",186764.360018091,178974.922650208,NA,"LM_AR"
"NJ2020","1","1","T0_T17","c_V1","Diff",138662.692186581,136895.687803916,NA,"LM_AR"
"NJ2020","1","1","T0_T17","c_V2","Diff",28664.7359605465,26531.7758317078,NA,"LM_AR"
"NJ2020","1","1","T0_T17","c_V3","Diff",19436.9318709636,16901.4393244188,NA,"LM_AR"
"NJ2020","1","1","T0_T17","c_Viruses","VP",-127981.908638625,157642.620600874,0.247865201992371,"LM_AR_DIFF"
"NJ2020","1","1","T0_T17","c_V1","VP",-88571.2349202271,120394.353711286,0.212976183282041,"LM_AR_DIFF"
"NJ2020","1","1","T0_T17","c_V2","VP",-23831.1994184227,23743.5091277154,0.33497375450781,"LM_AR_DIFF"
"NJ2020","1","1","T0_T17","c_V3","VP",-15579.4742999754,13997.5327024809,0.3824881132352,"LM_AR_DIFF"
"NJ2020","1","1","T0_T17","c_Viruses","VPC",58782.4513794661,21332.3020493339,0.791517130361025,"LM_AR_DIFF"
"NJ2020","1","1","T0_T17","c_V1","VPC",50091.4572663544,16501.3340926298,0.82166534440009,"LM_AR_DIFF"
"NJ2020","1","1","T0_T17","c_V2","VPC",4833.53654212376,2788.2667039924,0.600408942534192,"LM_AR_DIFF"
"NJ2020","1","1","T0_T17","c_V3","VPC",3857.45757098819,2903.90662193786,0.468729752369378,"LM_AR_DIFF"
