"Location","Station_Number","Depth","Time_Range","Population","Sample_Type","VP","abs_VP","VP_SE","VP_R_Squared","VP_Type"
"NJ2020","1","1","T0_T3","c_Viruses","VP",-82274.3425728505,-246823.027718551,61743.0079542815,0.307435252473028,"LM_AP"
"NJ2020","1","1","T0_T6","c_Viruses","VP",-676616.915422885,-4059701.49253731,136624.36158298,0.777962116671153,"LM_AP"
"NJ2020","1","1","T0_T17","c_Viruses","VP",-127981.908638625,-2175692.44685663,71588.5536780142,0.242195964382434,"LM_AP"
"NJ2020","1","1","T0_T20","c_Viruses","VP",9892.29253621603,197845.850724321,61879.574381784,0.0019620179807618,"LM_AP"
"NJ2020","1","1","T0_T24","c_Viruses","VP",67939.6069843835,1630550.5676252,50963.1322182125,0.0999702376783343,"LM_AP"
"NJ2020","1","1","T0_T17","c_Viruses","VP",-127981.908638625,-2175692.44685662,1616.01997786879,0.249864136981767,"LM_SR_AVG"
"NJ2020","1","1","T0_T20","c_Viruses","VP",9892.29253621604,197845.850724321,16011.4121856008,0.0118626794877893,"LM_SR_AVG"
"NJ2020","1","1","T0_T24","c_Viruses","VP",67939.6069843833,1630550.5676252,19473.4814869953,0.110600660729972,"LM_SR_AVG"
"NJ2020","1","1","T0_T3","c_Viruses","VP",-82274.3425728496,-246823.027718548,59435.233930115,1,"LM_SR_AVG"
"NJ2020","1","1","T0_T6","c_Viruses","VP",-676616.915422886,-4059701.49253732,52650.6391201229,0.790878039279474,"LM_SR_AVG"
"NJ2020","1","1","T0_T3","c_Viruses","VP",-82274.3425728493,-246823.027718548,NA,1,"LM_AR"
"NJ2020","1","1","T0_T6","c_Viruses","VP",-676616.915422885,-4059701.49253731,343143.844425822,0.795419979137091,"LM_AR"
"NJ2020","1","1","T0_T17","c_Viruses","VP",-127981.908638625,-2175692.44685662,157642.620600874,0.247865201992371,"LM_AR"
"NJ2020","1","1","T0_T20","c_Viruses","VP",9892.29253621616,197845.850724323,126357.933243145,0.00203883116021583,"LM_AR"
"NJ2020","1","1","T0_T24","c_Viruses","VP",67939.6069843833,1630550.5676252,94754.4188036004,0.113887483332996,"LM_AR"
"NJ2020","1","1","T0_T3","c_Viruses","VP",-82274.3425728493,-246823.027718548,NA,1,"LM_AR_DIFF"
"NJ2020","1","1","T0_T6","c_Viruses","VP",-676616.915422885,-4059701.49253731,343143.844425822,0.795419979137091,"LM_AR_DIFF"
"NJ2020","1","1","T0_T17","c_Viruses","VP",-127981.908638625,-2175692.44685662,157642.620600874,0.247865201992371,"LM_AR_DIFF"
"NJ2020","1","1","T0_T20","c_Viruses","VP",9892.29253621616,197845.850724323,126357.933243145,0.00203883116021583,"LM_AR_DIFF"
"NJ2020","1","1","T0_T24","c_Viruses","VP",67939.6069843833,1630550.5676252,94754.4188036004,0.113887483332996,"LM_AR_DIFF"
"NJ2020","1","1","T0_T3","c_Viruses","VP",-82274.3425728519,-246823.027718556,NA,1,"LM_AR_DIFF_LMER"
"NJ2020","1","1","T0_T6","c_Viruses","VP",-676616.915422883,-4059701.4925373,343143.844425824,0.795419979137088,"LM_AR_DIFF_LMER"
"NJ2020","1","1","T0_T17","c_Viruses","VP",-127981.908638625,-2175692.44685663,157642.620600874,0.247865201992372,"LM_AR_DIFF_LMER"
"NJ2020","1","1","T0_T20","c_Viruses","VP",9892.29253621598,197845.85072432,126357.933243145,0.00203883116021579,"LM_AR_DIFF_LMER"
"NJ2020","1","1","T0_T24","c_Viruses","VP",67939.606984384,1630550.56762522,94754.4188036003,0.113887483332998,"LM_AR_DIFF_LMER"
"NJ2020","1","1","T0_T17","c_Viruses","VP",144265.684564192,1804861.40724947,34166.8434454992,NA,"VPCL_SR_AVG"
"NJ2020","1","1","T0_T20","c_Viruses","VP",275365.011676313,4683240.93816632,42960.5282938507,NA,"VPCL_SR_AVG"
